,Ant routing,Flooding
20,440,65
20,440,114
20,440,110
20,440,110
20,440,196
20,440,66
21,462,70
21,462,142
21,462,155
21,462,154
22,484,141
22,484,68
22,484,198
22,484,224
22,484,118
23,506,88
23,506,187
23,506,168
23,506,88
23,506,237
23,506,143
23,506,174
23,506,198
24,528,266
24,528,142
24,528,238
24,516,203
24,528,160
24,528,220
24,528,99
24,528,220
24,528,44
25,550,252
25,550,220
25,550,154
25,550,213
25,550,158
25,550,299
25,550,152
25,550,149
25,550,134
25,550,198
26,572,156
26,572,198
26,572,132
26,572,193
26,572,209
27,594,198
27,594,126
27,594,152
27,594,157
27,594,252
28,616,286
28,616,222
28,616,115
28,616,160
28,616,264
28,616,202
29,638,303
29,638,244
29,638,192
29,638,242
29,638,264
30,660,170
30,660,220
30,660,179
30,660,112
30,660,173
31,682,242
31,682,244
31,682,331
31,682,180
31,682,174
31,682,306
31,682,253
32,704,198
32,704,159
32,704,88
32,704,302
32,704,317
32,704,150
32,704,156
32,704,242
32,704,264
32,704,200
32,704,213
33,726,291
33,726,196
33,726,240
33,726,193
33,726,189
33,726,396
33,726,352
34,748,176
34,748,293
34,748,164
34,748,122
34,748,240
34,748,155
34,748,168
34,748,253
35,770,110
35,770,264
35,770,237
35,770,170
35,770,191
36,792,264
36,792,176
36,792,272
36,792,286
36,792,307
36,792,256
36,792,178
36,792,184
36,792,323
36,792,136
37,814,279
37,814,242
37,814,308
37,814,272
37,814,252
37,814,427
37,814,273
37,814,295
38,836,217
38,836,352
38,836,152
38,836,341
38,836,372
38,836,220
38,836,306
38,836,112
39,858,152
39,858,283
39,858,249
39,858,382
39,858,310
39,858,256
39,858,361
39,858,242
40,880,342
40,880,242
40,880,242
40,880,364
40,880,301
41,902,315
41,902,264
42,924,330
42,895,354
42,924,300
42,924,242
42,924,269
42,924,445
42,924,180
42,924,231
42,924,308
42,924,251
42,924,337
42,924,215
43,946,277
43,946,196
43,946,258
43,946,391
43,946,368
43,946,328
44,968,392
44,968,328
44,968,279
44,968,161
45,990,313
45,990,260
45,990,240
46,1012,217
46,1012,283
46,1012,264
46,1012,353
46,1012,176
47,1034,234
47,1034,222
48,1056,266
48,1056,286
48,1056,308
48,1056,250
48,1056,301
48,1056,280
48,1056,249
48,1056,408
48,1056,345
49,1078,414
49,1078,371
49,1078,284
49,1078,345
49,1078,308
49,1078,428
50,1100,432
50,1100,271
50,1100,390
50,1100,306
50,1100,292
50,1100,396
