,Ant routing,Flooding
20,22.0,3.25
20,22.0,5.7
20,22.0,5.5
20,22.0,5.5
20,22.0,9.8
20,22.0,3.3
21,22.0,3.3333333333333335
21,22.0,6.761904761904762
21,22.0,7.380952380952381
21,22.0,7.333333333333333
22,22.0,6.409090909090909
22,22.0,3.090909090909091
22,22.0,9.0
22,22.0,10.181818181818182
22,22.0,5.363636363636363
23,22.0,3.8260869565217392
23,22.0,8.130434782608695
23,22.0,7.304347826086956
23,22.0,3.8260869565217392
23,22.0,10.304347826086957
23,22.0,6.217391304347826
23,22.0,7.565217391304348
23,22.0,8.608695652173912
24,22.0,11.083333333333334
24,22.0,5.916666666666667
24,22.0,9.916666666666666
24,21.5,8.458333333333334
24,22.0,6.666666666666667
24,22.0,9.166666666666666
24,22.0,4.125
24,22.0,9.166666666666666
24,22.0,1.8333333333333333
25,22.0,10.08
25,22.0,8.8
25,22.0,6.16
25,22.0,8.52
25,22.0,6.32
25,22.0,11.96
25,22.0,6.08
25,22.0,5.96
25,22.0,5.36
25,22.0,7.92
26,22.0,6.0
26,22.0,7.615384615384615
26,22.0,5.076923076923077
26,22.0,7.423076923076923
26,22.0,8.038461538461538
27,22.0,7.333333333333333
27,22.0,4.666666666666667
27,22.0,5.62962962962963
27,22.0,5.814814814814815
27,22.0,9.333333333333334
28,22.0,10.214285714285714
28,22.0,7.928571428571429
28,22.0,4.107142857142857
28,22.0,5.714285714285714
28,22.0,9.428571428571429
28,22.0,7.214285714285714
29,22.0,10.448275862068966
29,22.0,8.413793103448276
29,22.0,6.620689655172414
29,22.0,8.344827586206897
29,22.0,9.10344827586207
30,22.0,5.666666666666667
30,22.0,7.333333333333333
30,22.0,5.966666666666667
30,22.0,3.7333333333333334
30,22.0,5.766666666666667
31,22.0,7.806451612903226
31,22.0,7.870967741935484
31,22.0,10.67741935483871
31,22.0,5.806451612903226
31,22.0,5.612903225806452
31,22.0,9.870967741935484
31,22.0,8.161290322580646
32,22.0,6.1875
32,22.0,4.96875
32,22.0,2.75
32,22.0,9.4375
32,22.0,9.90625
32,22.0,4.6875
32,22.0,4.875
32,22.0,7.5625
32,22.0,8.25
32,22.0,6.25
32,22.0,6.65625
33,22.0,8.818181818181818
33,22.0,5.9393939393939394
33,22.0,7.2727272727272725
33,22.0,5.848484848484849
33,22.0,5.7272727272727275
33,22.0,12.0
33,22.0,10.666666666666666
34,22.0,5.176470588235294
34,22.0,8.617647058823529
34,22.0,4.823529411764706
34,22.0,3.588235294117647
34,22.0,7.0588235294117645
34,22.0,4.5588235294117645
34,22.0,4.9411764705882355
34,22.0,7.4411764705882355
35,22.0,3.142857142857143
35,22.0,7.542857142857143
35,22.0,6.771428571428571
35,22.0,4.857142857142857
35,22.0,5.457142857142857
36,22.0,7.333333333333333
36,22.0,4.888888888888889
36,22.0,7.555555555555555
36,22.0,7.944444444444445
36,22.0,8.527777777777779
36,22.0,7.111111111111111
36,22.0,4.944444444444445
36,22.0,5.111111111111111
36,22.0,8.972222222222221
36,22.0,3.7777777777777777
37,22.0,7.54054054054054
37,22.0,6.54054054054054
37,22.0,8.324324324324325
37,22.0,7.351351351351352
37,22.0,6.8108108108108105
37,22.0,11.54054054054054
37,22.0,7.378378378378378
37,22.0,7.972972972972973
38,22.0,5.7105263157894735
38,22.0,9.263157894736842
38,22.0,4.0
38,22.0,8.973684210526315
38,22.0,9.789473684210526
38,22.0,5.7894736842105265
38,22.0,8.052631578947368
38,22.0,2.9473684210526314
39,22.0,3.8974358974358974
39,22.0,7.256410256410256
39,22.0,6.384615384615385
39,22.0,9.794871794871796
39,22.0,7.948717948717949
39,22.0,6.564102564102564
39,22.0,9.256410256410257
39,22.0,6.205128205128205
40,22.0,8.55
40,22.0,6.05
40,22.0,6.05
40,22.0,9.1
40,22.0,7.525
41,22.0,7.682926829268292
41,22.0,6.439024390243903
42,22.0,7.857142857142857
42,21.30952380952381,8.428571428571429
42,22.0,7.142857142857143
42,22.0,5.761904761904762
42,22.0,6.404761904761905
42,22.0,10.595238095238095
42,22.0,4.285714285714286
42,22.0,5.5
42,22.0,7.333333333333333
42,22.0,5.976190476190476
42,22.0,8.023809523809524
42,22.0,5.119047619047619
43,22.0,6.441860465116279
43,22.0,4.558139534883721
43,22.0,6.0
43,22.0,9.093023255813954
43,22.0,8.55813953488372
43,22.0,7.627906976744186
44,22.0,8.909090909090908
44,22.0,7.454545454545454
44,22.0,6.340909090909091
44,22.0,3.659090909090909
45,22.0,6.955555555555556
45,22.0,5.777777777777778
45,22.0,5.333333333333333
46,22.0,4.717391304347826
46,22.0,6.1521739130434785
46,22.0,5.739130434782608
46,22.0,7.673913043478261
46,22.0,3.8260869565217392
47,22.0,4.9787234042553195
47,22.0,4.723404255319149
48,22.0,5.541666666666667
48,22.0,5.958333333333333
48,22.0,6.416666666666667
48,22.0,5.208333333333333
48,22.0,6.270833333333333
48,22.0,5.833333333333333
48,22.0,5.1875
48,22.0,8.5
48,22.0,7.1875
49,22.0,8.448979591836734
49,22.0,7.571428571428571
49,22.0,5.795918367346939
49,22.0,7.040816326530612
49,22.0,6.285714285714286
49,22.0,8.73469387755102
50,22.0,8.64
50,22.0,5.42
50,22.0,7.8
50,22.0,6.12
50,22.0,5.84
50,22.0,7.92
