,Ant routing,Flooding
Trondheim/audio,0.000985145143124787,0.001404875976094453
Trondheim/audio/01,0.0010301389234939108,0.001155245750870019
Trondheim/audio/02,0.0010098283750184548,0.0014266633133910894
Trondheim/audio/03,0.001048495582051418,0.0017294585299516103
Trondheim/audio/04,0.0010534928488746757,0.0008455653187891457
Trondheim/audio/05,0.0010391840548570716,0.0008506337110140318
Trondheim/audio/06,0.0010157166365324965,0.0008434779490947441
Trondheim/audio/07,0.0009885328447521917,0.0008346219755524554
Trondheim/audio/08,0.0009945678138136543,0.0008491627315277581
Trondheim/audio/09,0.0010011517088002275,0.0008256228758451716
Trondheim/audio/10,0.000988685390529285,0.0008427992920453103
Trondheim/video,0.0009471193106849105,0.0014190497696626538
Trondheim/video/01,0.0010090816162933774,0.0011577530385888475
Trondheim/video/02,0.0009829896690322466,0.0014205359704370993
Trondheim/video/03,0.0010318756254350703,0.001698187646048268
Trondheim/video/04,0.0009609506988342602,0.0008442659613393118
Trondheim/video/05,0.0009962815397754217,0.0008512670675601938
Trondheim/video/06,0.0009865146105467134,0.000829579532251189
Trondheim/video/07,0.0009582920727451654,0.000853075623661196
Trondheim/video/08,0.000990642954641489,0.0008514128893301861
Trondheim/video/09,0.001013415970264491,0.0008456676156940203
Trondheim/video/10,0.0009911560920080151,0.00083057228355959
