,Ant routing,Flooding
30,660,202
30,660,185
30,660,341
30,660,176
30,660,202
30,660,220
30,660,182
30,660,251
30,660,225
30,660,174
30,660,197
30,660,200
30,660,145
30,660,186
30,660,84
30,660,219
30,660,182
30,660,352
30,660,198
30,660,242
30,660,385
30,660,214
30,660,254
30,660,44
30,660,272
30,660,241
30,660,286
30,660,250
30,660,279
30,660,44
30,660,132
30,660,244
30,660,157
30,660,365
30,660,216
30,660,190
30,660,176
30,660,259
30,660,242
30,660,307
30,660,150
30,660,308
30,660,88
30,660,232
30,660,181
30,660,195
30,660,214
30,660,194
30,660,226
30,660,259
30,660,219
30,660,242
30,660,80
30,660,220
30,660,286
30,660,260
30,660,162
30,660,147
30,660,272
30,660,252
30,660,352
30,660,176
30,660,174
30,660,88
30,660,191
30,660,176
30,660,220
30,660,257
30,660,143
30,660,304
30,660,201
30,660,251
30,660,106
30,660,154
30,660,136
30,660,176
30,660,284
30,660,242
30,660,220
30,660,221
30,660,198
30,660,198
30,660,193
30,660,136
30,660,146
30,660,176
30,660,177
30,660,277
30,660,217
30,660,208
30,660,130
30,660,233
30,660,198
30,660,196
30,660,199
30,660,176
30,660,291
30,660,264
30,660,286
30,660,233
30,660,116
30,660,220
30,660,141
30,660,163
30,660,176
30,660,215
30,660,187
30,660,133
30,660,242
30,660,198
30,660,172
30,660,212
30,660,270
30,660,176
30,660,200
30,660,223
30,660,302
30,660,198
30,660,154
30,660,121
30,660,246
30,660,136
30,660,138
30,660,188
30,660,200
30,660,220
30,660,184
30,660,176
30,660,154
30,660,135
30,660,191
30,660,222
30,660,140
30,657,186
30,660,154
30,660,264
30,660,207
30,660,290
30,660,96
30,660,110
30,660,156
30,660,198
30,660,308
30,660,269
30,660,198
30,660,153
30,660,272
30,660,88
30,660,223
30,660,242
30,660,110
30,660,198
30,660,220
30,660,222
30,660,228
30,660,255
30,660,84
30,660,197
30,660,150
30,660,242
30,660,260
30,660,189
30,660,224
30,660,260
30,660,221
30,660,280
30,660,290
30,660,159
30,660,235
30,660,275
30,660,198
30,660,239
30,660,223
30,660,222
30,660,257
30,660,151
30,660,164
30,660,275
30,660,200
30,660,180
30,660,157
30,660,132
30,660,190
30,660,192
30,660,111
30,660,216
30,660,171
30,660,288
30,660,233
30,660,136
30,660,141
30,660,169
30,660,198
30,660,233
30,660,145
30,660,259
30,660,198
30,660,257
30,660,110
30,660,179
