,Ant routing,Flooding
30,22.0,6.733333333333333
30,22.0,6.166666666666667
30,22.0,11.366666666666667
30,22.0,5.866666666666666
30,22.0,6.733333333333333
30,22.0,7.333333333333333
30,22.0,6.066666666666666
30,22.0,8.366666666666667
30,22.0,7.5
30,22.0,5.8
30,22.0,6.566666666666666
30,22.0,6.666666666666667
30,22.0,4.833333333333333
30,22.0,6.2
30,22.0,2.8
30,22.0,7.3
30,22.0,6.066666666666666
30,22.0,11.733333333333333
30,22.0,6.6
30,22.0,8.066666666666666
30,22.0,12.833333333333334
30,22.0,7.133333333333334
30,22.0,8.466666666666667
30,22.0,1.4666666666666666
30,22.0,9.066666666666666
30,22.0,8.033333333333333
30,22.0,9.533333333333333
30,22.0,8.333333333333334
30,22.0,9.3
30,22.0,1.4666666666666666
30,22.0,4.4
30,22.0,8.133333333333333
30,22.0,5.233333333333333
30,22.0,12.166666666666666
30,22.0,7.2
30,22.0,6.333333333333333
30,22.0,5.866666666666666
30,22.0,8.633333333333333
30,22.0,8.066666666666666
30,22.0,10.233333333333333
30,22.0,5.0
30,22.0,10.266666666666667
30,22.0,2.933333333333333
30,22.0,7.733333333333333
30,22.0,6.033333333333333
30,22.0,6.5
30,22.0,7.133333333333334
30,22.0,6.466666666666667
30,22.0,7.533333333333333
30,22.0,8.633333333333333
30,22.0,7.3
30,22.0,8.066666666666666
30,22.0,2.6666666666666665
30,22.0,7.333333333333333
30,22.0,9.533333333333333
30,22.0,8.666666666666666
30,22.0,5.4
30,22.0,4.9
30,22.0,9.066666666666666
30,22.0,8.4
30,22.0,11.733333333333333
30,22.0,5.866666666666666
30,22.0,5.8
30,22.0,2.933333333333333
30,22.0,6.366666666666666
30,22.0,5.866666666666666
30,22.0,7.333333333333333
30,22.0,8.566666666666666
30,22.0,4.766666666666667
30,22.0,10.133333333333333
30,22.0,6.7
30,22.0,8.366666666666667
30,22.0,3.533333333333333
30,22.0,5.133333333333334
30,22.0,4.533333333333333
30,22.0,5.866666666666666
30,22.0,9.466666666666667
30,22.0,8.066666666666666
30,22.0,7.333333333333333
30,22.0,7.366666666666666
30,22.0,6.6
30,22.0,6.6
30,22.0,6.433333333333334
30,22.0,4.533333333333333
30,22.0,4.866666666666666
30,22.0,5.866666666666666
30,22.0,5.9
30,22.0,9.233333333333333
30,22.0,7.233333333333333
30,22.0,6.933333333333334
30,22.0,4.333333333333333
30,22.0,7.766666666666667
30,22.0,6.6
30,22.0,6.533333333333333
30,22.0,6.633333333333334
30,22.0,5.866666666666666
30,22.0,9.7
30,22.0,8.8
30,22.0,9.533333333333333
30,22.0,7.766666666666667
30,22.0,3.8666666666666667
30,22.0,7.333333333333333
30,22.0,4.7
30,22.0,5.433333333333334
30,22.0,5.866666666666666
30,22.0,7.166666666666667
30,22.0,6.233333333333333
30,22.0,4.433333333333334
30,22.0,8.066666666666666
30,22.0,6.6
30,22.0,5.733333333333333
30,22.0,7.066666666666666
30,22.0,9.0
30,22.0,5.866666666666666
30,22.0,6.666666666666667
30,22.0,7.433333333333334
30,22.0,10.066666666666666
30,22.0,6.6
30,22.0,5.133333333333334
30,22.0,4.033333333333333
30,22.0,8.2
30,22.0,4.533333333333333
30,22.0,4.6
30,22.0,6.266666666666667
30,22.0,6.666666666666667
30,22.0,7.333333333333333
30,22.0,6.133333333333334
30,22.0,5.866666666666666
30,22.0,5.133333333333334
30,22.0,4.5
30,22.0,6.366666666666666
30,22.0,7.4
30,22.0,4.666666666666667
30,21.9,6.2
30,22.0,5.133333333333334
30,22.0,8.8
30,22.0,6.9
30,22.0,9.666666666666666
30,22.0,3.2
30,22.0,3.6666666666666665
30,22.0,5.2
30,22.0,6.6
30,22.0,10.266666666666667
30,22.0,8.966666666666667
30,22.0,6.6
30,22.0,5.1
30,22.0,9.066666666666666
30,22.0,2.933333333333333
30,22.0,7.433333333333334
30,22.0,8.066666666666666
30,22.0,3.6666666666666665
30,22.0,6.6
30,22.0,7.333333333333333
30,22.0,7.4
30,22.0,7.6
30,22.0,8.5
30,22.0,2.8
30,22.0,6.566666666666666
30,22.0,5.0
30,22.0,8.066666666666666
30,22.0,8.666666666666666
30,22.0,6.3
30,22.0,7.466666666666667
30,22.0,8.666666666666666
30,22.0,7.366666666666666
30,22.0,9.333333333333334
30,22.0,9.666666666666666
30,22.0,5.3
30,22.0,7.833333333333333
30,22.0,9.166666666666666
30,22.0,6.6
30,22.0,7.966666666666667
30,22.0,7.433333333333334
30,22.0,7.4
30,22.0,8.566666666666666
30,22.0,5.033333333333333
30,22.0,5.466666666666667
30,22.0,9.166666666666666
30,22.0,6.666666666666667
30,22.0,6.0
30,22.0,5.233333333333333
30,22.0,4.4
30,22.0,6.333333333333333
30,22.0,6.4
30,22.0,3.7
30,22.0,7.2
30,22.0,5.7
30,22.0,9.6
30,22.0,7.766666666666667
30,22.0,4.533333333333333
30,22.0,4.7
30,22.0,5.633333333333334
30,22.0,6.6
30,22.0,7.766666666666667
30,22.0,4.833333333333333
30,22.0,8.633333333333333
30,22.0,6.6
30,22.0,8.566666666666666
30,22.0,3.6666666666666665
30,22.0,5.966666666666667
