,Ant routing,Flooding
30,15,1269
30,6,1392
30,15,1629
30,13,1317
30,11,1293
30,10,1542
30,7,1129
30,13,1534
30,4,1258
30,15,1068
30,8,1227
30,19,1256
30,11,840
30,10,1230
30,11,320
30,11,1349
30,14,1332
30,4,1687
30,7,1120
30,11,1089
30,8,1348
30,14,1405
30,11,1322
30,9,990
30,7,1576
30,3,1419
30,17,1248
30,20,1543
30,14,1433
30,6,66
30,12,1028
30,12,1123
30,5,672
30,7,1578
30,4,1416
30,7,1204
30,13,1065
30,11,1249
30,12,1244
30,9,1514
30,10,1235
30,11,1350
30,3,1126
30,7,1218
30,6,1317
30,6,1237
30,13,1082
30,8,1470
30,11,1327
30,9,1258
30,5,1504
30,9,1245
30,11,1042
30,6,1276
30,6,1297
30,12,1310
30,15,1251
30,19,1094
30,8,1645
30,8,1268
30,12,1777
30,18,1340
30,16,1212
30,8,1206
30,10,1301
30,14,1362
30,9,1225
30,16,1528
30,11,1195
30,10,1797
30,11,1251
30,20,1396
30,15,1172
30,15,1095
30,13,1271
30,11,1262
30,12,1153
30,15,1325
30,10,1293
30,19,1243
30,4,1109
30,12,1310
30,7,1339
30,24,1132
30,22,1288
30,11,1305
30,8,1429
30,18,1381
30,3,1414
30,10,1323
30,8,1174
30,10,1506
30,9,1205
30,11,1127
30,13,1096
30,15,1234
30,17,1296
30,3,1298
30,4,1497
30,10,1224
30,6,1340
30,10,1375
30,10,1275
30,10,1250
30,9,1238
30,7,1326
30,15,1277
30,10,1208
30,9,1571
30,11,1212
30,12,1432
30,8,1217
30,5,1260
30,11,1205
30,13,1191
30,8,1141
30,3,1542
30,12,1311
30,10,1178
30,6,1178
30,9,1568
30,8,1265
30,11,1251
30,7,1308
30,10,1292
30,20,1182
30,5,1373
30,14,1257
30,6,1631
30,12,1103
30,4,1095
30,10,1243
30,13,1048
30,6,1380
30,14,1243
30,9,1423
30,6,1284
30,4,1290
30,15,1067
30,10,1085
30,17,1091
30,10,1244
30,5,1353
30,4,1496
30,17,1050
30,7,1233
30,8,1183
30,5,1028
30,2,1213
30,20,1381
30,12,1224
30,5,1451
30,14,1296
30,6,1396
30,12,1327
30,19,1335
30,11,1016
30,18,1174
30,16,1210
30,26,1167
30,13,1435
30,9,1176
30,8,1352
30,11,1285
30,11,1347
30,5,1126
30,6,1309
30,7,1170
30,14,1137
30,11,1377
30,4,1065
30,12,1424
30,7,1276
30,21,1522
30,12,1434
30,5,1207
30,8,1148
30,27,1030
30,22,1158
30,17,1495
30,9,1067
30,10,1232
30,14,1018
30,12,1319
30,6,1220
30,12,1306
30,15,836
30,11,1241
30,7,1311
30,6,1202
30,22,1232
30,6,1361
30,10,1444
30,14,1230
30,8,1274
30,19,1217
30,9,1211
30,14,1295
30,4,530
30,10,1388
