,hits
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,21.9
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
30,22.0
