,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Trondheim/audio,0.024675920000042595,0.014130799999961141,0.00029296000000300637,0.006136960000006297,0.009369760000005556,0.00024536000000097147,0.0038269599999978254,0.0003183999999976095,0.010909039999987158,0.013125680000030115,0.0034021600000215813,0.002683200000006991,0.0002537599999925533,0.003164479999995251,0.02012480000001915,0.03314936000005275,0.000264959999981329,0.00028144000000907,0.0002985599999902888,0.0003014400000012074,0.00026704000001132044,0.002662159999985647,0.007739999999969882,0.0003160800000046038,0.0002742400000101952,0.005365360000013197,0.05704264000003434,0.0003169600000205719,0.0033867199999804143,0.00031096000000729873
Trondheim/audio/01,0.030021439999991628,0.012694479999971975,0.0002992000000077155,0.006186719999995205,0.009002879999989943,0.00026992000000092276,0.0030031200000024683,0.0002492000000060557,0.003519999999987533,0.012751520000030325,0.0008720800000148188,0.003336400000009121,0.0002969600000142236,0.0027408800000046085,0.006516000000019062,0.027698239999963903,0.00026079999999240044,0.00031608000001881464,0.008497120000029668,0.00029311999999492855,0.0002777600000030134,0.0028075999999970236,0.001676879999976677,0.0003044800000111536,0.00026008000000388165,0.005054639999997335,0.01586663999999871,0.00025359999999352567,0.003307359999993764,0.0002799199999827806
Trondheim/audio/02,0.011571200000027204,0.019675600000020665,0.006042720000010604,0.019838159999963523,0.007679680000023836,0.0003129599999951438,0.0030943999999948346,0.0002483999999967068,0.00309032000000542,0.013006959999991352,0.0008724799999697552,0.003285040000008621,0.0002503199999921435,0.0031025600000162967,0.01081872000003159,0.027869519999981662,0.0003098400000141055,0.006163760000035268,0.010940799999971773,0.0003054399999911084,0.0002528000000125985,0.003450479999997924,0.00026439999999183783,0.0002775200000115774,0.00584295999998119,0.0059012799999891286,0.00030287999999245585,0.009001760000032277,0.0034267200000073217,0.00031527999998104406
Trondheim/audio/03,0.035288479999991296,0.013813760000019215,0.0004355200000674131,0.012324880000001315,0.007940640000001054,0.00028992000000727103,0.11788472000001349,0.00041096000007456723,0.0032500000000155183,0.009970479999978465,0.0037062399999996387,0.0035251200000061544,0.0003076799999917057,0.0028648800000041774,0.012418240000002356,0.04698223999990603,0.00040968000014629524,0.00031920000000695836,0.003397760000012795,0.00027055999998992775,0.0002818399999853227,0.00030312000001231354,0.000572000000005346,0.00031840000001182034,0.0002584000000069864,0.0064456800000414205,0.06825135999997656,0.00024943999999038624,0.0030448799997344622,0.0003616799996990494
Trondheim/audio/04,0.011477760000019543,0.002745599999997239,0.03850360000013353,0.02211840000001075,0.009538080000012883,0.0002841600000067501,0.00024111999999831824,0.00036992000006819126,0.003187359999998307,0.0034918400000094607,0.004141280000027336,0.0034390400000177124,0.00026991999999381733,0.002904000000000906,0.024888000000089505,0.027084000000030528,0.00040936000017666174,0.00024319999999988795,0.002854719999987765,0.0003123200000061388,0.0002675199999941924,0.0002860799999950814,0.0003024000000095839,0.0002617600000007769,0.0002547199999867189,0.005355839999992895,0.00030960000000845866,0.00029584000000681954,0.003030719999998155,0.00037743999970984987
Trondheim/audio/05,0.03390464000004556,0.010141760000010436,0.0004318400000684619,0.03320064000003242,0.009265279999993936,0.00030431999999791515,0.10676560000003121,0.0003768800000614192,0.0030447999999978492,0.012155680000006441,0.0009355199999845354,0.003261280000003808,0.0003115199999967899,0.0030624000000045726,0.01347472000006178,0.03189695999998321,0.00040936000014824003,0.00031744000000344386,0.015323199999983217,0.0002412800000115567,0.0002529600000116261,0.00026207999999883214,0.0016213600000014594,0.000301600000000235,0.00024432000000729204,0.02973696000003656,0.01036480000004758,0.00026592000000391636,0.0030905600000039612,0.0003919999997208379
Trondheim/audio/06,0.02758912000004443,0.054862079999992375,0.0002912000000065973,0.018381760000011127,0.009795999999980154,0.0003084800000010546,0.1289944000000105,0.00028975999998692714,0.002696319999984098,0.00599423999997839,0.0008260799999675328,0.0031556799999918894,0.0002756799999872328,0.0027403200000151173,0.01085823999997615,0.03221664000000146,0.0003137600000115981,0.0003099200000065139,0.008918080000000828,0.0002678399999922476,0.0002536000000077365,0.003444319999999834,0.00028255999998805237,0.0002902399999982208,0.00025536000001125103,0.008164159999978438,0.0003123200000061388,0.00025984000001244567,0.002888159999997697,0.00026944000001094537
Trondheim/audio/07,0.0520660799999888,0.0038272000000034723,0.00024208000000669472,0.02321136000006163,0.007712799999993081,0.0002867199999911918,0.00029760000001033404,0.00026528000000780594,0.002713920000019243,0.0002465599999936785,0.00382511999995927,0.0030518399999834855,0.0003009600000041246,0.011847360000018625,0.03479279999993423,0.0003099200000065139,0.000292480000013029,0.000301600000000235,0.008853600000037432,0.00025216000000227723,0.00028480000000286054,0.0029620800000031977,0.00031952000000501357,0.00024031999998896936,0.009349600000007285,0.008928000000025804,0.00025920000001633525,0.007802080000089973,0.002861759999973401,0.00028223999998999716
Trondheim/audio/08,0.07039472000005986,0.0029779200000064066,0.00024480000000437485,0.07530767999998034,0.00966207999996982,0.00024048000000220782,0.01073856000002138,0.0002724800000066807,0.003410879999989902,0.006535199999973429,0.003434080000005224,0.003168000000016491,0.0002625600000101258,0.0032894399999747748,0.052035200000034365,0.037190559999970674,0.00030319999999051106,0.0003190399999937199,0.00028512000000091575,0.00026207999999883214,0.00026944000001094537,0.0002966399999877467,0.0002767999999946369,0.000251840000004222,0.00026159999998753847,0.005423039999982393,0.00028944000001729364,0.00026303999999299776,0.0027649599999790553,0.0390779200000253
Trondheim/audio/09,0.029723519999990344,0.01025983999998914,0.00031824000001279273,0.03374560000000315,0.011440640000046187,0.000301600000000235,0.006117759999995087,0.00029903999998737163,0.000266879999998082,0.011158560000012585,0.001009279999948376,0.0029743999999993775,0.0057086399999946025,0.0033228800000131287,0.1015593600000102,0.0002841600000067501,0.001009279999948376,0.0033158400000274924,0.0002963199999896915,0.00029503999999747066,0.000266879999998082,0.003314079999995556,0.0004870399999958863,0.0003038400000150432,0.012745919999929356,0.0381681599999979,0.057813599999974485,0.007871519999980592,0.0030465600000297854,0.00024031999998896936
