,hits,waste,timeout,prodRec,interest
30,202,1269,0,22,0
30,185,1392,0,22,0
30,341,1629,0,22,0
30,176,1317,0,22,0
30,202,1293,0,22,0
30,220,1542,0,22,0
30,182,1129,0,22,0
30,251,1534,0,22,0
30,225,1258,0,22,0
30,174,1068,0,22,0
30,197,1227,0,22,0
30,200,1256,0,22,0
30,145,840,0,22,0
30,186,1230,0,22,0
30,84,320,0,22,0
30,219,1349,0,22,0
30,182,1332,0,22,0
30,352,1687,0,22,0
30,198,1120,0,22,0
30,242,1089,0,22,0
30,385,1348,0,22,0
30,214,1405,0,22,0
30,254,1322,0,22,0
30,44,990,0,22,0
30,272,1576,0,22,0
30,241,1419,0,22,0
30,286,1248,0,22,0
30,250,1543,0,22,0
30,279,1433,0,22,0
30,44,66,0,22,0
30,132,1028,0,22,0
30,244,1123,0,22,0
30,157,672,0,22,0
30,365,1578,0,22,0
30,216,1416,0,22,0
30,190,1204,0,22,0
30,176,1065,0,22,0
30,259,1249,0,22,0
30,242,1244,0,22,0
30,307,1514,0,22,0
30,150,1235,0,22,0
30,308,1350,0,22,0
30,88,1126,0,22,0
30,232,1218,0,22,0
30,181,1317,0,22,0
30,195,1237,0,22,0
30,214,1082,0,22,0
30,194,1470,0,22,0
30,226,1327,0,22,0
30,259,1258,0,22,0
30,219,1504,0,22,0
30,242,1245,0,22,0
30,80,1042,0,22,0
30,220,1276,0,22,0
30,286,1297,0,22,0
30,260,1310,0,22,0
30,162,1251,0,22,0
30,147,1094,0,22,0
30,272,1645,0,22,0
30,252,1268,0,22,0
30,352,1777,0,22,0
30,176,1340,0,22,0
30,174,1212,0,22,0
30,88,1206,0,22,0
30,191,1301,0,22,0
30,176,1362,0,22,0
30,220,1225,0,22,0
30,257,1528,0,22,0
30,143,1195,0,22,0
30,304,1797,0,22,0
30,201,1251,0,22,0
30,251,1396,0,22,0
30,106,1172,0,22,0
30,154,1095,0,22,0
30,136,1271,0,22,0
30,176,1262,0,22,0
30,284,1153,0,22,0
30,242,1325,0,22,0
30,220,1293,0,22,0
30,221,1243,0,22,0
30,198,1109,0,22,0
30,198,1310,0,22,0
30,193,1339,0,22,0
30,136,1132,0,22,0
30,146,1288,0,22,0
30,176,1305,0,22,0
30,177,1429,0,22,0
30,277,1381,0,22,0
30,217,1414,0,22,0
30,208,1323,0,22,0
30,130,1174,0,22,0
30,233,1506,0,22,0
30,198,1205,0,22,0
30,196,1127,0,22,0
30,199,1096,0,22,0
30,176,1234,0,22,0
30,291,1296,0,22,0
30,264,1298,0,22,0
30,286,1497,0,22,0
30,233,1224,0,22,0
30,116,1340,0,22,0
30,220,1375,0,22,0
30,141,1275,0,22,0
30,163,1250,0,22,0
30,176,1238,0,22,0
30,215,1326,0,22,0
30,187,1277,0,22,0
30,133,1208,0,22,0
30,242,1571,0,22,0
30,198,1212,0,22,0
30,172,1432,0,22,0
30,212,1217,0,22,0
30,270,1260,0,22,0
30,176,1205,0,22,0
30,200,1191,0,22,0
30,223,1141,0,22,0
30,302,1542,0,22,0
30,198,1311,0,22,0
30,154,1178,0,22,0
30,121,1178,0,22,0
30,246,1568,0,22,0
30,136,1265,0,22,0
30,138,1251,0,22,0
30,188,1308,0,22,0
30,200,1292,0,22,0
30,220,1182,0,22,0
30,184,1373,0,22,0
30,176,1257,0,22,0
30,154,1631,0,22,0
30,135,1103,0,22,0
30,191,1095,0,22,0
30,222,1243,0,22,0
30,140,1048,0,22,0
30,186,1380,0,22,0
30,154,1243,0,22,0
30,264,1423,0,22,0
30,207,1284,0,22,0
30,290,1290,0,22,0
30,96,1067,0,22,0
30,110,1085,0,22,0
30,156,1091,0,22,0
30,198,1244,0,22,0
30,308,1353,0,22,0
30,269,1496,0,22,0
30,198,1050,0,22,0
30,153,1233,0,22,0
30,272,1183,0,22,0
30,88,1028,0,22,0
30,223,1213,0,22,0
30,242,1381,0,22,0
30,110,1224,0,22,0
30,198,1451,0,22,0
30,220,1296,0,22,0
30,222,1396,0,22,0
30,228,1327,0,22,0
30,255,1335,0,22,0
30,84,1016,0,22,0
30,197,1174,0,22,0
30,150,1210,0,22,0
30,242,1167,0,22,0
30,260,1435,0,22,0
30,189,1176,0,22,0
30,224,1352,0,22,0
30,260,1285,0,22,0
30,221,1347,0,22,0
30,280,1126,0,22,0
30,290,1309,0,22,0
30,159,1170,0,22,0
30,235,1137,0,22,0
30,275,1377,0,22,0
30,198,1065,0,22,0
30,239,1424,0,22,0
30,223,1276,0,22,0
30,222,1522,0,22,0
30,257,1434,0,22,0
30,151,1207,0,22,0
30,164,1148,0,22,0
30,275,1030,0,22,0
30,200,1158,0,22,0
30,180,1495,0,22,0
30,157,1067,0,22,0
30,132,1232,0,22,0
30,190,1018,0,22,0
30,192,1319,0,22,0
30,111,1220,0,22,0
30,216,1306,0,22,0
30,171,836,0,22,0
30,288,1241,0,22,0
30,233,1311,0,22,0
30,136,1202,0,22,0
30,141,1232,0,22,0
30,169,1361,0,22,0
30,198,1444,0,22,0
30,233,1230,0,22,0
30,145,1274,0,22,0
30,259,1217,0,22,0
30,198,1211,0,22,0
30,257,1295,0,22,0
30,110,530,0,22,0
30,179,1388,0,22,0
