,C0,C3,C4,C5,C7,C9,C10,C11,C16,C17,C19,C22,C23,C25
Trondheim/audio,0.011591360000007711,0.008465600000004514,0.04278592000000714,0.010288960000007563,0.01107040000000481,0.007684160000007267,,0.007553920000006542,0.010288960000007563,0.007684160000007267,0.010288960000007563,0.044088320000007286,,0.008751040000017696
Trondheim/audio/01,,0.0005596799999949553,0.0475359200000014,,0.009306480000002892,0.004484560000012294,,0.004020640000007347,,0.004484560000012294,,,,0.007272959999998108
Trondheim/audio/02,,0.0007194400000010148,0.06262616000000065,,0.010678640000001849,0.005812560000006073,,0.005379840000003355,,0.005812560000006073,,,,0.008632159999994116
Trondheim/audio/03,,0.0008499200000002816,0.10694983999999508,,0.012137519999999569,0.007479599999996367,,0.007011199999997331,,0.007479599999996367,,,,0.010236639999991581
Trondheim/audio/04,,0.0005968000000109441,0.029257679999993513,,0.008382079999989855,0.0043407199999947466,0.008831119999989312,0.00389167999999529,,0.0043407199999947466,,,0.008831119999989312,0.005538159999993297
Trondheim/audio/05,,0.0005903999999929965,0.02625863999998046,,0.008467199999977026,0.004384799999975542,,0.003931199999982482,,0.004384799999975542,,,,0.00559439999997835
Trondheim/audio/06,,0.0005516800000009425,0.030024480000015785,,0.008771840000008524,0.004542560000004414,,0.0040726400000039575,,0.004542560000004414,,,,0.005795680000005632
Trondheim/audio/07,,0.0005225600000073882,0.026735759999994002,,0.007311360000024081,0.003786240000025032,0.007572480000028747,0.003394560000018032,,0.003786240000025032,,,0.007572480000028747,0.0048307200000223816
Trondheim/audio/08,,0.000614719999987301,0.026412000000000546,,0.007176960000009558,0.003716640000021698,0.007433280000014975,0.003332160000013573,,0.003716640000021698,,,0.007433280000014975,0.004741920000014943
Trondheim/audio/09,,0.0004992000000072494,0.028286400000013145,,0.007521920000009175,0.0038952800000089383,0.007790560000010771,0.0034923200000065435,,0.0038952800000089383,,,0.007790560000010771,0.004969840000008219
Trondheim/audio/10,,0.0005532799999912186,0.026684640000006254,,0.008731519999997772,0.004521679999982098,,0.00405391999998983,,0.004521679999982098,,,,0.0057690399999899
Trondheim/video,0.011021760000005543,0.00804960000000321,0.04216672000000443,0.009783360000005459,0.010526400000003377,0.007306560000005291,,0.00718272000000475,0.009783360000005459,0.007306560000005291,0.009783360000005459,0.043405120000004516,,0.008411200000008279
Trondheim/video/01,,0.0006019200000011438,0.04793359999999858,,0.008517919999995627,0.003753760000003936,0.008292960000002125,0.0033654400000031615,,0.003753760000003936,,,0.008292960000002125,0.005018559999999894
Trondheim/video/02,,0.0007511200000003271,0.060974559999998235,,0.009861439999996335,0.00507311999999871,0.009607519999999425,0.004682879999998946,,0.00507311999999871,,,0.009607519999999425,0.006324479999998189
Trondheim/video/03,,0.0008752000000011861,0.09995271999999922,,0.011139599999996364,0.0066475200000031265,0.01220799999999933,0.006236480000001876,,0.0066475200000031265,,,0.01220799999999933,0.00916127999999894
Trondheim/video/04,,0.0006166399999969485,0.029104319999998296,,0.008919679999996433,0.004619119999999199,,0.004141279999998915,,0.004619119999999199,,,,0.005893359999998182
Trondheim/video/05,,0.0005939200000000255,0.026923199999998815,,0.008682239999991737,0.004496159999991534,,0.0040310399999938795,,0.004496159999991534,,,,0.005736479999992383
Trondheim/video/06,,0.0005744000000049709,0.030382320000001073,,0.007866000000003481,0.004001999999999839,0.00800400000000323,0.0035880000000005907,,0.004001999999999839,,,0.00800400000000323,0.005106000000001387
Trondheim/video/07,,0.0006144000000034566,0.02869535999999684,,0.007624320000001461,0.0038790400000046077,0.00775808000000211,0.003477760000002661,,0.0038790400000046077,,,0.00775808000000211,0.004949120000002694
Trondheim/video/08,,0.0006288000000012062,0.026633520000000743,,0.008261120000000233,0.004278079999991746,,0.0038355199999955403,,0.004278079999991746,,,,0.00545823999999584
Trondheim/video/09,,0.0006288000000012062,0.027570719999996385,,0.008417919999988754,0.004359279999992083,,0.003908319999993637,,0.004359279999992083,,,,0.005561839999991491
Trondheim/video/10,,0.0005302400000033458,0.02786040000000156,,0.007862400000000491,0.004071599999996067,0.00814319999999924,0.003650399999997944,,0.004071599999996067,,,0.00814319999999924,0.0051947999999981676
