,C0,C1,C16,C20,C25
Trondheim/audio,0.006635519999989015,0.005253119999988343,0.005253119999988343,0.005114879999990052,0.006635519999989015
Trondheim/audio/01,0.006988639999999435,0.0052864000000028,0.0053171199999972885,0.0031782399999968902,0.006741439999998988
Trondheim/audio/02,0.009750719999999546,0.008150399999998115,0.005194879999997681,0.005045759999998012,0.006623600000001062
Trondheim/audio/03,0.008527839999999287,0.0067340799999939804,0.008364800000002504,0.0065830399999953215,0.009724160000004645
Trondheim/audio/04,0.0055588800000236915,0.00405648000002401,0.00405648000002401,0.003906240000020489,0.0055588800000236915
Trondheim/audio/05,0.0063075199999929055,0.0037022399999884215,0.004936319999991667,0.0035651199999904293,0.006170399999994913
Trondheim/audio/06,0.0055618400000270185,0.004058640000025093,0.004058640000025093,0.003908320000022059,0.0055618400000270185
Trondheim/audio/07,0.005825439999981086,0.004559039999982417,0.004559039999982417,0.0032926399999837486,0.0056987999999833505
Trondheim/audio/08,0.006487840000005463,0.005077440000007982,0.003808080000013092,0.003667040000010502,0.006346800000002872
Trondheim/audio/09,0.006292799999997101,0.004924799999997731,0.0036935999999982982,0.0035567999999983613,0.006155999999997164
Trondheim/audio/10,0.00568152000002442,0.003933360000019093,0.003933360000019093,0.0037876800000162802,0.005535840000021608
Trondheim/video,0.006931199999996807,0.005487199999997472,0.005487199999997472,0.005342799999997538,0.006931199999996807
Trondheim/video/01,0.007090640000001258,0.00504768000000233,0.00504768000000233,0.0031678400000032525,0.006733040000002077
Trondheim/video/02,0.008302000000002252,0.006258400000003661,0.006258400000003661,0.004378560000004583,0.007349200000003719
Trondheim/video/03,0.009851040000000921,0.007838080000000858,0.007838080000000858,0.006318239999998809,0.009204640000001874
Trondheim/video/04,0.00581344000000783,0.004242240000007058,0.004242240000007058,0.00408512000000627,0.005970560000008618
Trondheim/video/05,0.006322239999995816,0.004947839999996262,0.004947839999996262,0.003573439999996708,0.0061847999999962155
Trondheim/video/06,0.00612720000000877,0.004795200000007327,0.004795200000007327,0.003463200000005884,0.0059940000000082705
Trondheim/video/07,0.0061401599999868495,0.004250879999990076,0.004250879999990076,0.004093439999991233,0.0059827199999880065
Trondheim/video/08,0.005637760000013259,0.004412160000011767,0.004412160000011767,0.0031865600000102745,0.005515200000012044
Trondheim/video/09,0.005631599999997405,0.0038987999999982037,0.0038987999999982037,0.0037543999999982702,0.005487199999997472
Trondheim/video/10,0.005921760000003218,0.0040996800000030476,0.0040996800000030476,0.003947840000002145,0.005769920000002315
