,C0,C1,C2,C3,C5,C6,C10,C12,C16,C18,C19,C20,C22,C23,C29
Trondheim/audio,0.003978800000009386,0.00994720000000271,0.008564400000004468,0.0024696000000083984,0.005931600000003812,0.006174000000005009,0.003978800000009386,,0.011340400000005246,,0.00842720000000341,,0.006174000000005009,0.0024696000000083984,0.006032800000003391
Trondheim/audio/01,0.004014479999998599,0.010113599999993284,0.007501999999995235,0.0010943999999994958,0.004869199999994578,0.0005280000000027485,0.004014479999998599,,0.010309999999996933,,0.007364799999994176,,0.0005280000000027485,0.0008207999999996218,0.004970399999994157
Trondheim/audio/02,0.0067372799999994015,0.00869207999999233,0.007166079999993968,0.001217279999998766,0.006080479999994282,0.0006576800000033245,0.0067372799999994015,,0.011724079999996917,0.009623679999993584,0.00857607999999388,0.009623679999993584,0.0006576800000033245,0.0009820799999999963,0.006181679999993861
Trondheim/audio/03,0.006668959999998947,0.007608959999995335,0.008870159999993632,0.001469120000002988,0.010479199999991806,0.0007840000000030045,0.006668959999998947,0.0671889599999993,0.013028159999997513,,0.0133139999999905,,0.0009160000000036916,0.0011134400000010203,0.003921119999997558
Trondheim/audio/04,,0.006970559999992076,0.0056553599999915605,0.001052159999971991,0.003551039999976524,0.0005648000000064712,,,0.009334719999991137,,0.0056553599999915605,,0.0005648000000064712,0.0008952000000164162,0.004208639999994546
Trondheim/audio/05,,0.006767039999992619,0.005490239999993207,0.0010214399999881607,0.003447359999988464,0.0005020799999897463,,,0.009043199999986484,,0.005490239999993207,,0.0005020799999897463,0.0008736000000197919,0.004085759999995275
Trondheim/audio/06,,0.007080800000004217,0.005744800000002215,0.0010687999999845488,0.0036071999999904847,0.0005411200000082772,,,0.009334079999995026,,0.005744800000002215,,0.0005411200000082772,0.0009551999999928285,0.004275200000002144
Trondheim/audio/07,0.00453287999999219,0.007280079999993916,0.005906479999993053,0.0010988799999722687,0.003708719999977461,0.0004934400000138339,0.00453287999999219,,0.009319519999991144,,0.005906479999993053,,0.0004934400000138339,0.0008596800000191251,0.004395519999995656
Trondheim/audio/08,0.0048115199999969605,0.007637760000008598,0.0062233600000070055,0.0011315200000012737,0.004142879999982085,0.0004963199999963308,0.0048115199999969605,,0.009453919999991456,,0.0065979199999830485,,0.0004963199999963308,0.0008486400000009553,0.004910079999987715
Trondheim/audio/09,,0.007089279999988207,0.0057516799999888235,0.0010297599999944396,0.003611519999978441,0.0005334399999981088,,,0.009317919999986657,,0.0057516799999888235,,0.0005334399999981088,0.0007723199999958297,0.004280319999992344
Trondheim/audio/10,0.004759919999997919,0.007644720000001826,0.006202319999999872,0.0011539199999788252,0.0038944799999853785,0.0005328000000019983,0.004759919999997919,,0.009641039999991108,,0.006202319999999872,,0.0005328000000019983,0.0009585600000150407,0.004615680000000566
Trondheim/video,0.003872080000002498,0.010054880000001987,0.008333359999999956,0.002403360000002408,0.005686960000000241,0.006008400000000691,0.003872080000002498,,0.011650000000003047,,0.008199839999999625,,0.006008400000000691,0.002403360000002408,0.005820480000000572
Trondheim/video/01,0.0038647199999992665,0.00892687999999886,0.00720535999999683,0.0010246399999971345,0.004558959999997114,0.000576959999996518,0.0038647199999992665,,0.01052199999999992,,0.007071839999996499,,0.0006958399999970055,0.0009345600000010279,0.004692479999997445
Trondheim/video/02,0.0051140799999984665,0.010241119999999881,0.008519599999997851,0.0011770400000052916,0.0058731999999981355,0.0007180799999968457,0.0051140799999984665,,0.011836240000000942,,0.00838607999999752,,0.0009811999999964627,0.0010558400000011403,0.006006719999998467
Trondheim/video/03,0.006377519999999137,0.013179360000000528,0.0117177599999998,0.0014284799999995101,0.01012263999999874,0.000840079999996135,0.006377519999999137,,0.014254639999998986,,0.011584239999999468,,0.0012443199999960797,0.0011900000000011346,0.006684959999997631
Trondheim/video/04,,0.006656800000000018,0.0054008000000003165,0.0010048000000040247,0.003391200000002925,0.0005411200000011718,,,0.008986719999997561,,0.0054008000000003165,,0.0005411200000011718,0.0007771199999986322,0.004019200000000112
Trondheim/video/05,0.003002559999998766,0.006540479999998183,0.005329279999997993,0.0009689599999944676,0.003823199999992255,0.0004918399999951362,0.003002559999998766,,0.008712319999993667,,0.006088799999993455,,0.0004918399999951362,0.0007267199999958507,0.003996959999998495
Trondheim/video/06,0.004736160000003764,0.0076065600000028155,0.00617136000000329,0.0011481600000138314,0.003875040000011154,0.0006054400000010673,0.004736160000003764,,0.009719119999996195,,0.00617136000000329,,0.0006054400000010673,0.0008836800000011635,0.004592640000002035
Trondheim/video/07,0.004313039999999546,0.006795360000001693,0.00553696000000059,0.001006719999992356,0.0037583999999952766,0.0004998400000033598,0.004313039999999546,,0.008880640000000994,,0.005985599999995372,,0.0004998400000033598,0.000755039999994267,0.004152720000000443
Trondheim/video/08,,0.006991760000008895,0.00567256000000782,0.0010553600000093866,0.0035618400000103634,0.0005088000000057491,,,0.009093760000002504,,0.00567256000000782,,0.0005088000000057491,0.0008318399999964754,0.004221440000005572
Trondheim/video/09,0.004601520000001358,0.007390319999998951,0.0059959200000001545,0.0011155200000132481,0.0037648800000091853,0.00048288000000695774,0.004601520000001358,,0.009255599999995923,,0.0059959200000001545,,0.00048288000000695774,0.0009547199999957456,0.004462079999999702
Trondheim/video/10,0.004902240000003388,0.007983920000004474,0.006477520000004233,0.0011788799999976618,0.004067280000008111,0.0005174399999958723,0.004902240000003388,,0.009697839999997626,,0.006477520000004233,,0.0005174399999958723,0.0008841599999982463,0.0048204800000029024
