,C0,C1,C4,C5,C6,C9,C13,C14,C15,C16,C23,C28,C29
Trondheim/audio,0.010145599999987098,0.011443199999987996,0.010428799999989025,0.010078879999987578,,0.008802799999987343,0.00865359999998816,0.008355199999989793,0.005371199999991916,0.007012399999990038,,0.007161599999989221,
Trondheim/audio/01,0.008622400000000141,0.009190000000000254,0.008022399999997987,0.00826879999999619,,0.007608000000001169,0.007227600000000223,0.006698959999997811,0.0005782399999958443,0.004034400000001881,,0.006213200000001251,
Trondheim/audio/02,0.009895599999989457,0.010459679999996752,0.009292159999993999,0.009537679999993998,,0.008880559999990822,0.008499919999991334,0.0065721599999974956,0.0007147999999972399,0.005303359999999202,,0.0074848799999927,
Trondheim/audio/03,0.012532559999996806,0.01221903999999796,0.011073839999994561,0.011073839999994561,,0.011480879999997029,0.011030159999997124,0.008354879999998843,0.000910239999999618,0.0068524799999991615,,0.009828239999997379,
Trondheim/audio/04,0.014888399999968271,0.009354239999993297,0.012067439999974283,0.013477919999971277,,0.011910719999974617,0.013321199999971611,0.0064310399999953916,0.0006268799999986641,0.008933039999980963,,0.010186799999978291,
Trondheim/audio/05,0.012026240000011512,0.011746560000005957,0.010767680000014934,0.012026240000011512,,0.010627840000012156,0.013424640000010868,0.008949760000007245,0.000559360000011111,0.0092294400000128,,0.009089600000010023,
Trondheim/audio/06,0.014774399999986088,0.009430559999998422,0.011975039999988724,0.013374719999987406,,0.01181951999998887,0.013219199999987552,0.006881759999998849,0.0006220799999994142,0.008864639999991653,,0.010108799999990481,
Trondheim/audio/07,0.010746560000015393,0.010496640000013713,0.009621920000014939,0.010746560000015393,,0.009496960000014099,0.011996160000016687,0.007997440000011125,0.0004998400000033598,0.008247360000012804,,0.008122400000011964,
Trondheim/audio/08,0.011448320000027934,0.011182080000025962,0.010250240000026167,0.011448320000027934,,0.010117120000025182,0.012779520000030686,0.008519680000020458,0.0005324800000039431,0.008785920000022429,,0.008652800000021443,
Trondheim/audio/09,0.011709760000002234,0.011437440000008792,0.010484319999996217,0.011709760000002234,,0.010348159999999496,0.013071360000004972,0.008714240000003315,0.0005446399999868845,0.008986559999996757,,0.008850400000000036,
Trondheim/audio/10,0.010719040000012114,0.010469760000006545,0.009597280000015473,0.010719040000012114,,0.009472640000012689,0.01196544000001154,0.007976960000007693,0.000498560000011139,0.008226240000013263,,0.008101600000010478,
Trondheim/video,0.008334079999993804,0.010049439999994192,0.009054239999993996,0.008211519999994366,,0.007231039999993527,0.007108479999994088,0.006863359999995211,0.0044121599999957795,0.005760319999994934,,0.005882879999994373,
Trondheim/video/01,0.00895655999999967,0.009237360000000194,0.007815040000002327,0.007803920000002407,,0.008020799999997053,0.007619759999998976,0.005697440000002274,0.0006163199999988933,0.004360640000001581,,0.006550319999997001,
Trondheim/video/02,0.010256400000001165,0.01053720000000169,0.009114880000003822,0.009103760000003902,,0.009317279999999428,0.008919600000000472,0.006997280000003769,0.0007623999999992748,0.005657120000003957,,0.007840080000001137,
Trondheim/video/03,0.011505040000001188,0.011785840000001713,0.010269200000003309,0.010352400000003925,,0.010560959999999397,0.010168240000000495,0.008245920000003792,0.0009152799999991856,0.006900800000003926,,0.009073840000000999,
Trondheim/video/04,0.011616000000003623,0.009093119999999288,0.01016400000000317,0.010428000000004545,,0.009108000000004779,0.010296000000003858,0.006251519999999289,0.0005280000000027485,0.007524000000003639,,0.007656000000004326,
Trondheim/video/05,0.008034400000003217,0.007742240000002454,0.006427520000002573,0.006719680000003336,,0.005258880000003074,0.006573600000002955,0.00482064000000193,0.0006390399999958163,0.0035059200000020496,,0.003652000000002431,
Trondheim/video/06,0.008279679999994016,0.006453279999998784,0.005357439999997382,0.00852319999999196,0.0062374400000067,0.0073055999999915855,0.006940319999994671,0.0040180799999980366,0.0006118400000048041,0.002922239999996634,0.027274239999997008,0.00596623999999224,0.007655040000006608
Trondheim/video/07,0.011764799999987474,0.010402559999988625,0.009535679999991942,0.010650239999989708,,0.0094118399999914,0.010526399999989167,0.00792575999999201,0.0004953600000021652,0.008173439999993093,,0.008049599999992552,
Trondheim/video/08,0.008297279999993634,0.0065635199999931615,0.005448959999995395,0.008668799999995258,,0.0074303999999969506,0.007058879999995327,0.0040867199999965464,0.0005849599999976363,0.0029721599999987802,,0.006068159999998102,
Trondheim/video/09,0.012481919999999036,0.009743359999987433,0.010921679999999157,0.011205360000001718,,0.00978696000000312,0.011063520000000437,0.006698559999989584,0.0005673600000051238,0.00808488000000196,,0.00822672000000324,
Trondheim/video/10,0.013140400000001051,0.008693759999999884,0.01065064000000504,0.011895520000003046,,0.010512320000003683,0.011757200000001689,0.005976959999998144,0.0005532800000054294,0.007884240000006315,,0.008990800000002963,
