,C0,C1,C2,C3,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C26,C27,C28,C29
Trondheim/audio,0.03241728000001132,,0.021533440000023774,0.023784320000022063,0.019971360000017313,0.016787520000011824,0.021822880000026856,0.021822880000026856,0.021533440000023774,0.01837944000001457,0.019971360000017313,0.021413280000022183,0.023784320000022063,0.01982664000001577,,0.01982664000001577,0.01982664000001577,,0.01837944000001457,0.021413280000022183,0.025295520000021554
Trondheim/audio/01,0.037473439999999414,,0.006955040000011792,0.008075520000009107,0.005167040000007006,0.0005555200000060267,0.007195360000014972,0.007195360000014972,0.006955040000011792,0.003124160000012921,0.005167040000007006,0.006834880000010202,0.008075520000009107,0.005046880000005416,,0.005046880000005416,0.005071440000005367,,0.003124160000012921,0.006834880000010202,0.009277120000010797
Trondheim/audio/02,0.05088535999999522,,0.009596720000011771,0.009471600000008351,0.007844080000005249,0.000717119999997351,0.009872400000013215,0.009872400000013215,0.00908464000000464,0.0059956800000087185,0.007844080000005249,0.007374080000008831,0.009471600000008351,0.007706240000004527,,0.007706240000004527,0.007713120000005347,,0.0059956800000087185,0.007374080000008831,0.010850000000008464
Trondheim/audio/03,0.06341263999999569,0.1035278399999946,0.008205040000010655,0.010703920000008083,0.006425840000002125,0.0008469599999969546,0.008454160000010091,0.008454160000010091,0.008205040000010655,0.004431360000005213,0.006425840000002125,0.008084880000009065,0.010703920000008083,0.006301280000002407,0.11731743999999367,0.006301280000002407,0.00632144000000423,,0.004431360000005213,0.008084880000009065,0.012082320000008195
Trondheim/audio/04,,,0.006760320000005038,0.008088240000006408,0.005794559999998228,0.0004828799999927469,0.007001760000001411,0.007001760000001411,0.006881040000003225,0.004225200000000484,0.005794559999998228,0.006881040000003225,0.008088240000006408,0.005673840000000041,,0.005673840000000041,0.005432400000003668,,0.004225200000000484,0.006881040000003225,0.009295440000009592
Trondheim/audio/05,,,0.007454720000019677,0.008919040000023415,0.006389760000018896,0.0005324800000039431,0.007720960000021648,0.007720960000021648,0.0075878400000206625,0.004659200000013186,0.006389760000018896,0.0075878400000206625,0.008919040000023415,0.00625664000001791,,0.00625664000001791,0.0059904000000159385,,0.004659200000013186,0.0075878400000206625,0.010250240000026167
Trondheim/audio/06,,,0.005709600000010084,0.00710528000001176,0.004694560000018555,0.000621760000001359,0.0059633600000168485,0.0059633600000168485,0.0058364800000134665,0.0030451200000101153,0.004694560000018555,0.0058364800000134665,0.00710528000001176,0.004567680000015173,,0.004567680000015173,0.004313920000008409,,0.0030451200000101153,0.0058364800000134665,0.008374080000010053
Trondheim/audio/07,,,0.007732479999994268,0.00925135999999327,0.006627839999993057,0.000552319999997053,0.008008639999992795,0.008008639999992795,0.007870559999993532,0.0048327999999955296,0.006627839999993057,0.007870559999993532,0.00925135999999327,0.006489759999993794,,0.006489759999993794,0.006213599999995267,,0.0048327999999955296,0.007870559999993532,0.010632159999993007
Trondheim/audio/08,,,0.007539840000006848,0.009020880000008447,0.006462720000001809,0.0005385599999954138,0.007809120000004555,0.007809120000004555,0.007674480000005701,0.0047124000000025035,0.006462720000001809,0.007674480000005701,0.009020880000008447,0.006328080000002956,,0.006328080000002956,0.006058800000005249,,0.0047124000000025035,0.007674480000005701,0.010367280000011192
Trondheim/audio/09,,,0.007405439999992325,0.008860079999990944,0.006347519999991391,0.0005289599999969141,0.007669919999990782,0.007669919999990782,0.007537679999991553,0.004628399999994315,0.006347519999991391,0.007537679999991553,0.008860079999990944,0.006215279999992163,,0.006215279999992163,0.005950799999993706,,0.004628399999994315,0.007537679999991553,0.010182479999990335
Trondheim/audio/10,,,0.005637600000007126,0.0070156800000091835,0.004635360000001754,0.0005872000000124444,0.005888160000004916,0.005888160000004916,0.005762880000006021,0.0030067200000019056,0.004635360000001754,0.005762880000006021,0.0070156800000091835,0.0045100800000028585,,0.0045100800000028585,0.004259520000005068,,0.0030067200000019056,0.005762880000006021,0.008268480000012346
