,C0,C26
Trondheim/audio,0.0006207999999929825,0.0021727999999932024
Trondheim/audio/01,0.0006329600000043456,0.0005385599999954138
Trondheim/audio/02,0.0007802400000045395,0.0006614399999946841
Trondheim/audio/03,0.0009015200000028756,0.0007959999999940237
Trondheim/audio/04,0.0005199999999945248,0.00031359999999835964
Trondheim/audio/05,0.0004992000000072494,0.0017472000000040566
Trondheim/audio/06,0.0004963199999963308,0.0017371199999942633
Trondheim/audio/07,0.000584639999999581,0.0020462399999985337
Trondheim/audio/08,0.0005199999999945248,0.0018199999999950478
Trondheim/audio/09,0.0005363200000090274,0.0018771200000102795
Trondheim/audio/10,0.0005817599999886625,0.0020361599999887403
Trondheim/video,0.0005411200000011718,0.0018939200000005485
Trondheim/video/01,0.0006249600000032274,0.0006364799999971638
Trondheim/video/02,0.0007885600000019366,0.0007906399999964009
Trondheim/video/03,0.0009283200000016478,0.0009127999999964942
Trondheim/video/04,0.0005331200000000536,0.0018659200000001874
Trondheim/video/05,0.0006096000000042068,0.0005331200000000536
Trondheim/video/06,0.0006265600000006089,0.0005711999999959971
Trondheim/video/07,0.000512000000000512,0.0017920000000017922
Trondheim/video/08,0.0005052799999987201,0.001768479999999073
Trondheim/video/09,0.0005123199999985673,0.001793119999998538
Trondheim/video/10,0.0006262400000025536,0.0005206400000048461
