,C0,C2,C8,C10,C17,C27
Trondheim/audio,0.003937440000001402,0.005451840000002761,0.005451840000002761,0.0051489600000032,0.0053004000000029805,0.0037860000000016214
Trondheim/audio/01,0.008690000000001419,0.0059567200000003595,0.010097200000000583,0.004807599999999468,0.005836480000006361,0.0033772800000022585
Trondheim/audio/02,0.005117199999993716,0.007451919999997614,0.007275119999999191,0.006414239999998017,0.005685920000004785,0.004968479999995168
Trondheim/audio/03,0.006423919999999583,0.008773680000000894,0.008596880000002471,0.007999519999998483,0.007321520000004966,0.006290239999998448
Trondheim/audio/04,0.00368999999998465,0.005165999999981352,0.005165999999981352,0.0033637599999991608,0.005313599999979601,0.003542399999986401
Trondheim/audio/05,0.00791120000003076,0.00477400000001893,0.007502000000023656,0.00477400000001893,0.009411600000035492,0.0032736000000141985
Trondheim/audio/06,0.0037700000000029377,0.005278000000004113,0.005278000000004113,0.0033755200000058494,0.005127200000003995,0.00361920000000282
Trondheim/audio/07,0.0038339999999976726,0.005367599999999584,0.005367599999999584,0.0032928800000107117,0.005214240000000814,0.0036806399999989026
Trondheim/audio/08,0.006735599999991848,0.004723599999977068,0.006286559999992392,0.0032929599999960146,0.008382079999989855,0.0032390399999826514
Trondheim/audio/09,0.003760000000006869,0.005264000000003932,0.005264000000003932,0.0032430400000080795,0.005414400000006481,0.0036096000000043205
Trondheim/audio/10,0.0067827200000181165,0.0042392000000148755,0.006419360000009533,0.003996960000009153,0.008115040000021168,0.0029068800000118244
Trondheim/video,0.0034174400000033245,0.004731840000003373,0.004731840000003373,0.004468960000002298,0.0046004000000028356,0.0032860000000027867
Trondheim/video/01,0.0032500000000030838,0.005365200000001735,0.005254800000001225,0.004584400000000599,0.004658960000000434,0.003120000000002676
Trondheim/video/02,0.0045999200000022,0.0066880800000017615,0.006577680000001251,0.005898960000001452,0.006166240000000656,0.004467840000001999
Trondheim/video/03,0.0065677599999993674,0.008305440000000885,0.008195040000000375,0.0073406400000006755,0.007503120000000862,0.00640871999999959
Trondheim/video/04,0.003975999999997981,0.005566399999997529,0.005566399999997529,0.0036000800000000055,0.005407359999997752,0.003816959999998204
Trondheim/video/05,0.0033700000000074226,0.0047180000000075495,0.0047180000000075495,0.0030558400000018082,0.004583200000006116,0.003235200000005989
Trondheim/video/06,0.0034420000000068285,0.004818800000006007,0.004818800000006007,0.003365360000000095,0.004681120000004313,0.0033043200000051343
Trondheim/video/07,0.003590000000009752,0.005026000000011521,0.005026000000011521,0.003252080000002877,0.0048824000000102785,0.0034464000000085093
Trondheim/video/08,0.003815999999996933,0.005342399999996417,0.005342399999996417,0.0034111199999991015,0.005189759999996824,0.00366335999999734
Trondheim/video/09,0.0036940000000065254,0.0051716000000077145,0.0051716000000077145,0.003461760000003977,0.005023840000006885,0.003546240000005696
Trondheim/video/10,0.0055079999999954055,0.004205600000013021,0.005140799999999501,0.0026927999999983854,0.006854399999994598,0.002883840000009741
