,C0,C1,C2,C3,C4,C5,C7,C9,C10,C12,C15,C17,C18,C19,C21,C22,C24,C26,C27
Trondheim/audio,0.007604479999997693,0.007458239999998284,0.01190159999999807,0.006142079999996497,,0.007604479999997693,0.00892063999999948,0.04870880000000355,0.00892063999999948,0.009011439999994764,0.007458239999998284,0.007311999999998875,0.010236800000001267,0.00570335999999827,,0.007311999999998875,0.00892063999999948,,0.00939783999999122
Trondheim/audio/01,0.0101977600000005,0.010356399999999155,,0.008611359999999735,,0.0101977600000005,0.01194279999999992,0.099541600000002,0.01194279999999992,0.01194279999999992,0.010356399999999155,0.005753599999998471,0.011930400000000674,0.0033487999999906037,,0.008757599999999144,0.01194279999999992,,0.007815199999992473
Trondheim/audio/02,0.00893960000000149,0.009098240000000146,,0.007353200000000726,,0.00893960000000149,0.010684640000000911,0.05676672000000593,0.010684640000000911,0.010684640000000911,0.009098240000000146,0.007369839999999073,0.010672240000001665,0.005352959999992635,,0.007499440000000135,0.010684640000000911,,0.009431439999993074
Trondheim/audio/03,0.011628320000003356,0.011601280000004266,0.0043216800000003275,0.010041920000002591,,0.011628320000003356,0.011459520000002499,0.0691678400000022,0.011459520000002499,0.008154399999998674,0.009571999999998582,0.008770560000002092,0.01336096000000353,0.006736799999998766,,0.010188160000002,0.011459520000002499,,0.010329920000003767
Trondheim/audio/04,,0.006004719999992858,,0.004599359999993169,,0.005876959999994824,0.007282319999994513,0.031045680000005405,0.007282319999994513,,,0.004727119999991203,0.008559919999996168,0.0033217599999915137,,0.006004719999992858,0.007282319999994513,,0.006004719999992858
Trondheim/audio/05,0.0070177599999823315,0.007170319999978858,,0.0054921599999815385,,0.0070177599999823315,0.008695919999979651,0.03582080000000332,0.008695919999979651,0.008695919999979651,0.007170319999978858,0.005644719999978065,0.008695919999979651,0.0039665599999807455,,0.005644719999978065,0.008695919999979651,,0.007170319999978858
Trondheim/audio/06,0.009916000000025349,0.006956000000023721,,0.005328000000019983,0.038584479999997257,0.006808000000020797,0.008436000000024535,0.03699007999999537,0.008436000000024535,0.008436000000024535,0.006956000000023721,0.005476000000022907,0.008436000000024535,0.0038480000000191694,0.05931168000000042,0.005476000000022907,0.008436000000024535,0.05771727999999854,0.006956000000023721
Trondheim/audio/07,0.006995680000002835,0.007147760000002279,,0.005474880000001292,,0.006995680000002835,0.008668560000003822,0.031249680000001945,0.008668560000003822,0.008668560000003822,0.007147760000002279,0.005626960000000736,0.008668560000003822,0.003954079999999749,,0.005626960000000736,0.008668560000003822,,0.007147760000002279
Trondheim/audio/08,,0.005873120000011056,,0.004498560000008922,,0.005748160000010216,0.00712272000001235,0.030365280000005157,0.00712272000001235,,,0.004623520000009762,0.008372320000013644,0.003248960000007628,,0.005873120000011056,0.00712272000001235,,0.005873120000011056
Trondheim/audio/09,0.006756480000007059,0.006903360000009684,,0.005287680000009232,,0.006756480000007059,0.008372160000007511,0.034465920000009476,0.008372160000007511,0.008372160000007511,0.006903360000009684,0.005434560000011857,0.008372160000007511,0.0038188800000114043,,0.005434560000011857,0.008372160000007511,,0.006903360000009684
Trondheim/audio/10,,0.005715199999997367,,0.004377599999997983,,0.005593599999997423,0.006931199999996807,0.029548800000000597,0.006931199999996807,,,0.004499199999997927,0.008147199999996246,0.0031615999999985434,,0.005715199999997367,0.006931199999996807,,0.005715199999997367
Trondheim/video,0.008290879999989897,0.008131439999990775,0.012302239999991471,0.006696479999989791,,0.008290879999989897,0.009756479999991186,0.051606799999994735,0.009756479999991186,0.009725839999990882,0.008131439999990775,0.007971999999991652,0.01242767999999117,0.006218159999992423,,0.007971999999991652,0.009756479999991186,,0.009853599999990692
Trondheim/video/01,0.0074171199999995,0.008852080000000484,,0.005544400000001559,,0.0074171199999995,0.011371920000001978,0.08475864000000222,0.011371920000001978,0.009155279999999877,0.007257680000000377,0.005703840000000682,0.011523840000000618,0.0032614399999992827,,0.008573440000001042,0.011371920000001978,,0.00772543999999975
Trondheim/video/02,0.0089144000000001,0.008664400000002459,,0.0070416800000021595,,0.0089144000000001,0.010139600000002247,0.05523648000000492,0.010139600000002247,0.010652560000000477,0.008754960000000978,0.007201120000001282,0.010291520000000887,0.0050457600000015645,,0.007341120000001311,0.010139600000002247,,0.00922272000000035
Trondheim/video/03,0.010300720000000041,0.0100507200000024,0.004151520000002407,0.0084280000000021,,0.010300720000000041,0.009822400000002673,0.07074944000000194,0.009822400000002673,0.004561440000001582,0.006050240000002205,0.008587440000001223,0.012932240000001372,0.0064240000000008735,,0.009981840000001796,0.009822400000002673,,0.010121280000001676
Trondheim/video/04,,0.0071289599999975195,,0.005460479999998213,,0.006977279999997421,0.008645759999996727,0.03685823999999549,0.008645759999996727,,,0.005612159999998312,0.010162559999995935,0.003943679999999006,,0.0071289599999975195,0.008645759999996727,,0.0071289599999975195
