,C0,C1,C9,C12,C13,C22,C27
Trondheim/audio,0.005434879999995701,0.007040639999992493,0.007040639999992493,0.009140479999995677,0.03905727999999442,0.007040639999992493,0.006793599999994626
Trondheim/audio/01,0.006205040000001105,0.005705919999996922,0.005705919999996922,0.011203039999998055,0.09745256000000069,0.008169839999993656,0.006934720000000283
Trondheim/audio/02,0.005858240000005566,0.004441040000003227,0.004441040000003227,0.004028160000004277,0.04464336000000202,0.007884720000003398,0.005829680000005055
Trondheim/audio/03,0.007121520000005432,0.005704560000001635,0.005704560000001635,0.005811760000000277,0.05727544000000151,0.009148000000003265,0.00785120000000461
Trondheim/audio/04,0.006230399999992642,0.006230399999992642,0.006230399999992642,0.010478399999989563,0.031859999999987565,0.008071199999989176,0.007504799999992429
Trondheim/audio/05,0.004585040000002039,0.0032219200000014325,0.0032219200000014325,,0.02651887999999758,0.005576400000002479,0.004337200000001928
Trondheim/audio/06,0.0062972799999840845,0.003124160000012921,0.003124160000012921,,0.025714240000013433,0.005407200000014711,0.004205600000013021
Trondheim/audio/07,0.004484400000023925,0.0031512000000191165,0.0031512000000191165,,0.025936800000017968,0.005454000000021608,0.004242000000019175
Trondheim/audio/08,0.005586240000013731,0.005586240000013731,0.005586240000013731,0.009395040000015342,0.02856600000001208,0.007236720000022956,0.006728880000011372
Trondheim/audio/09,0.004910640000019839,0.003450720000017782,0.003450720000017782,,0.02840208000001354,0.005972400000011646,0.004645200000013006
Trondheim/audio/10,0.006642239999990807,0.0036462400000090156,0.0036462400000090156,0.011321999999985621,0.03001136000000315,0.006310800000015604,0.004908400000012136
Trondheim/video,0.00690975999999921,0.008951279999998007,0.008951279999998007,0.011676239999999893,0.045990559999998126,0.008951279999998007,0.008637199999999012
Trondheim/video/01,0.006736560000002001,0.010997520000003647,0.010997520000003647,0.01350672000000408,0.07833536000000052,0.009092400000001888,0.007822800000001351
Trondheim/video/02,0.005909680000003803,0.0045630400000042926,0.0045630400000042926,0.008278240000004544,0.049390080000002,0.00826552000000369,0.005925280000004918
Trondheim/video/03,0.007119040000004517,0.005764480000005179,0.005764480000005179,0.006734080000004639,0.06150744000000152,0.009474880000004404,0.007134640000005632
Trondheim/video/04,0.0064486399999950095,0.008353919999992243,0.008353919999992243,0.010845439999993545,0.03297599999999612,0.008353919999992243,0.007767679999995281
Trondheim/video/05,0.00573760000000334,0.007432800000003681,0.007432800000003681,0.009649600000006586,0.029340000000001254,0.007432800000003681,0.006911200000004669
Trondheim/video/06,0.00703648000001067,0.00703648000001067,0.00703648000001067,0.011834080000014069,0.03598200000001128,0.009115440000016406,0.008475760000010268
Trondheim/video/07,0.006244480000006547,0.008089440000009773,0.008089440000009773,0.010502080000009073,0.03193200000000829,0.008089440000009773,0.007521760000006594
Trondheim/video/08,0.00636063999999692,0.008239919999994072,0.008239919999994072,0.010697439999997727,0.032525999999993616,0.008239919999994072,0.007661679999998228
Trondheim/video/09,0.006944959999998446,0.006944959999998446,0.006944959999998446,0.011680159999997386,0.03551399999999916,0.008996879999997986,0.008365519999998128
Trondheim/video/10,0.006124799999994934,0.007934399999992792,0.007934399999992792,0.01030079999999245,0.0313199999999938,0.007934399999992792,0.007377599999994544
