,C0,C1,C12,C29
Trondheim/audio,0.0038035199999910674,0.005976959999998144,0.0023092799999915314,0.00601711999999921
Trondheim/audio/01,0.007601440000001958,0.006754080000007434,0.000920639999989703,0.008280640000009498
Trondheim/audio/02,0.009166640000003667,0.009881680000010107,0.0010908799999924668,0.009845840000011208
Trondheim/audio/03,0.010614640000003561,0.004182719999999307,0.001236719999990754,0.011293840000011102
Trondheim/audio/04,,0.004026000000003194,0.0007319999999850779,0.004148000000000707
Trondheim/audio/05,0.005555200000017635,0.005237760000014191,0.0009523200000103316,0.005396480000015913
Trondheim/audio/06,0.005319999999997549,0.005015999999997689,0.0009119999999995798,0.005167999999997619
Trondheim/audio/07,0.00515759999998977,0.004862879999990355,0.0008841599999982463,0.005010239999990063
Trondheim/audio/08,0.005275199999999813,0.004973759999998606,0.0009043200000036222,0.00512447999999921
Trondheim/audio/09,,0.003975839999988295,0.0007228799999978719,0.004096319999987941
Trondheim/audio/10,,0.004065599999997005,0.0007391999999839527,0.00418879999999433
Trondheim/video,0.004020799999995717,0.007479599999998143,0.0024411999999962575,0.0060435999999981505
Trondheim/video/01,0.00561527999999889,0.006330080000001459,0.0007828799999956004,0.006333280000001551
Trondheim/video/02,0.008572719999998313,0.007782720000001575,0.0009939999999950544,0.009290720000000974
Trondheim/video/03,0.01109616000000102,0.012238080000001261,0.0011772800000002803,0.010945680000000735
Trondheim/video/04,,0.0040444799999974634,0.000735359999996632,0.004167039999996902
Trondheim/video/05,0.005431999999991888,0.0051215999999953965,0.0009311999999894738,0.005276799999993642
Trondheim/video/06,,0.004482719999998608,0.0008150399999919955,0.004618559999997274
Trondheim/video/07,0.005258399999998886,0.00495791999999895,0.0009014399999998091,0.005108159999998918
Trondheim/video/08,,0.0040867199999965464,0.0007430400000032478,0.004210559999997088
Trondheim/video/09,,0.004369199999995743,0.0007943999999895368,0.004501599999993999
Trondheim/video/10,,0.0045540000000023895,0.0008279999999984966,0.004692000000002139
