,C0,C1,C2,C5,C11,C12,C13,C16,C17,C18,C19,C21,C23,C24,C26,C28,C29
Trondheim/audio,0.01082047999997826,0.007131679999982765,0.010082719999985557,0.010082719999985557,0.04586199999998186,0.011345839999982843,,0.012541919999982554,0.01020567999998434,0.04832119999997886,0.010082719999985557,0.00823831999998248,0.011312319999984055,0.010082719999985557,0.008853119999987058,,
Trondheim/audio/01,,0.004826800000003573,0.037202720000006906,0.037202720000006906,0.050751040000001524,0.03840752000000691,0.0676182400000016,,0.0069003200000032905,0.053160640000001536,0.037202720000006906,0.0022891199999968137,,0.03961232000000692,0.0359979200000069,0.05436544000000154,0.0676182400000016
Trondheim/audio/02,,0.006503200000004483,0.0769783200000127,0.0769783200000127,0.06407224000000511,0.07839752000001354,0.08394104000000979,,0.004228080000000745,0.0669106400000068,0.0769783200000127,0.001543360000006544,,0.07981672000001439,0.07555912000001186,0.06832984000000764,0.08394104000000979
Trondheim/audio/03,,0.00864711999999912,0.009989519999997754,0.009989519999997754,0.1050277600000058,0.00864711999999912,0.12382136000000088,,0.008781360000000404,0.10771256000000307,0.009989519999997754,0.0016776000000078284,,0.01267431999999502,0.011331919999996387,0.1090549600000017,0.12382136000000088
Trondheim/audio/04,,0.003745279999975537,0.03236991999999361,0.03236991999999361,0.03384127999999009,0.033707519999992996,0.053905279999987954,,0.007089279999988207,0.03651647999998886,0.03236991999999361,0.0025414399999732495,,0.03504511999999238,0.03103231999999423,0.03919167999998763,0.053905279999987954
Trondheim/audio/05,,0.002485200000009513,0.0320988800000066,0.0320988800000066,0.0335579200000069,0.033425280000010105,0.05212752000002041,,0.007029920000007905,0.03621072000001391,0.0320988800000066,0.0013080000000087466,,0.03475168000001361,0.0307724800000031,0.03753712000001741,0.05212752000002041
Trondheim/audio/06,,0.0050971200000020644,0.038526400000009176,0.038526400000009176,0.03375119999999754,0.040118400000011434,0.05303759999998903,,0.006336959999998726,0.03650639999999328,0.038526400000009176,0.0013776000000120803,,0.04171040000001369,0.03693440000000692,0.03788399999999115,0.05303759999998903
Trondheim/audio/07,,0.0029807199999893896,0.033821919999994066,0.033821919999994066,0.036229999999989104,0.03521951999999118,0.05719399999997421,,0.007407279999995353,0.03902519999998333,0.033821919999994066,0.0015687999999869362,,0.03661711999998829,0.03242431999999695,0.04182039999997755,0.05719399999997421
Trondheim/audio/08,,0.002372720000010986,0.03337664000001439,0.03337664000001439,0.030595599999998058,0.03475584000001675,0.04807879999999187,,0.0073097600000124885,0.03309319999999616,0.03337664000001439,0.0012488000000132615,,0.0361350400000191,0.031997440000012034,0.03434199999999521,0.04807879999999187
Trondheim/audio/09,,0.004679759999994815,0.007304960000013239,0.007304960000013239,0.030987599999996007,0.008709760000016331,0.048694799999999816,,0.0060710399999948095,0.03351719999999858,0.007304960000013239,0.0012647999999870763,,0.010114560000019424,0.005900160000010146,0.03478199999999987,0.048694799999999816
Trondheim/audio/10,,0.0024548000000308434,0.030588799999989646,0.030588799999989646,0.031979199999987884,0.03185279999998869,0.0496751999999816,,0.0066991999999928,0.03450719999998597,0.030588799999989646,0.0012920000000349319,,0.033116799999987734,0.029324799999990603,0.035771199999985015,0.0496751999999816
Trondheim/video,0.013263360000010493,0.00874176000000837,0.012359040000006871,0.012359040000006871,0.05660800000000776,0.01386624000000758,,0.015373440000008287,0.012509760000007475,0.05962240000000918,0.012359040000006871,0.010098240000008474,0.01386624000000758,0.012359040000006871,0.010851840000006163,,
Trondheim/video/01,,0.0042895999999998935,,,0.06308919999999674,,0.08438039999999525,,0.009756559999997805,0.06613079999999627,,0.001516000000005846,,,0.04461335999999427,0.06765159999999604,0.08438039999999525
