,C0,C3,C5,C10,C11,C16,C20,C24,C25,C27,C28
Trondheim/audio,0.009746880000001568,0.013824800000001858,0.012495680000004228,0.04623232000000499,0.005168800000003415,0.045239360000003614,0.01414528000000459,0.06072144000000179,0.01414528000000459,0.008270080000002622,0.005168800000003415
Trondheim/audio/01,,0.011147679999996996,0.009963999999996531,0.05419936000000192,0.0005740799999998103,,0.011410719999997099,,0.011410719999997099,0.009463039999996425,0.0005260800000002064
Trondheim/audio/02,,0.009411439999993831,0.0077006399999959285,0.0642581600000014,0.0008611199999997154,,0.009674639999992962,,0.009674639999992962,0.00401663999999613,0.0007535999999994658
Trondheim/audio/03,,0.010917839999986967,0.009136319999992537,0.10483160000000069,0.0011539200000001415,,0.011191919999983924,,0.011191919999983924,0.005431519999991252,0.0008908800000000383
Trondheim/audio/04,,0.009608160000020405,0.008439600000016867,0.029084160000010684,0.0005193599999984144,,0.009867840000019612,,0.009867840000019612,0.006751680000014915,0.0005193599999984144
Trondheim/audio/05,,0.008903679999995973,0.007820799999997519,0.02695167999999626,0.00048128000000247084,,0.009144319999997208,,0.009144319999997208,0.006256639999996594,0.00048128000000247084
Trondheim/audio/06,,0.009998880000026134,0.00878280000002718,0.03026688000001343,0.0005404800000121668,,0.010269120000032217,,0.010269120000032217,0.00702624000001606,0.0005404800000121668
Trondheim/audio/07,,0.009927840000031551,0.008720400000029827,0.03005184000001293,0.0005366400000070826,,0.010196160000035093,,0.010196160000035093,0.006976320000021019,0.0005366400000070826
Trondheim/audio/08,,0.009282559999995499,0.008153599999992878,0.028098559999989448,0.0005017599999916911,,0.009533439999991344,,0.009533439999991344,0.006522879999998565,0.0005017599999916911
Trondheim/audio/09,,0.009554879999967625,0.008392799999967337,0.028922879999981888,0.0005164799999874958,,0.009813119999961373,,0.009813119999961373,0.006714239999979554,0.0005164799999874958
Trondheim/audio/10,,0.010969760000008932,0.009635600000009958,0.033205760000001305,0.0005929600000058599,,0.011266240000011862,,0.011266240000011862,0.0077084800000051246,0.0005929600000058599
Trondheim/video,0.008432159999998134,0.011663759999999357,0.010358399999999435,0.043266239999999456,0.004471599999998688,0.03898352000000038,0.011965439999999106,0.05774407999999909,0.011965439999999106,0.007154559999998256,0.004471599999998688
Trondheim/video/01,,0.011842880000004996,0.010524560000003902,0.05346136000000001,0.0007179199999995944,,0.01213584000000445,,0.01213584000000445,0.009953120000004034,0.0005859199999989073
Trondheim/video/02,,0.010479520000005849,0.007536720000004493,0.0640932000000003,0.0009959199999993729,,0.010732880000006162,,0.010732880000006162,0.004313440000002444,0.0007174399999989589
Trondheim/video/03,,0.011851920000005123,0.008912720000003205,0.10480079999999958,0.001274159999999469,,0.012116080000003748,,0.012116080000003748,0.005689440000001156,0.0008648799999999568
Trondheim/video/04,,0.00903983999999447,0.007940399999995407,0.027363839999999584,0.0004886400000003732,,0.009284159999994657,,0.009284159999994657,0.00635231999999597,0.0004886400000003732
Trondheim/video/05,,0.008962879999998563,0.007872799999997682,0.027130879999994306,0.0004844799999972338,,0.00920511999999718,,0.00920511999999718,0.006298239999999566,0.0004844799999972338
Trondheim/video/06,,0.009442400000001072,0.008293999999999357,0.028582399999997676,0.0005103999999960251,,0.009697599999999085,,0.009697599999999085,0.006635200000001618,0.0005103999999960251
Trondheim/video/07,,0.009531199999987194,0.008371999999987167,0.028851199999991195,0.000515199999995275,,0.009788799999984832,,0.009788799999984832,0.006697599999991866,0.000515199999995275
Trondheim/video/08,,0.01087503999999484,0.009552399999993355,0.0329190399999959,0.000587839999994344,,0.011168959999992012,,0.011168959999992012,0.007641919999997526,0.000587839999994344
Trondheim/video/09,,0.009057599999998445,0.007955999999996521,0.027417599999992603,0.0004895999999945388,,0.009302399999995714,,0.009302399999995714,0.006364800000000059,0.0004895999999945388
Trondheim/video/10,,0.009442400000001072,0.008293999999999357,0.028582399999997676,0.0005103999999960251,,0.009697599999999085,,0.009697599999999085,0.006635200000001618,0.0005103999999960251
