,C0,C2,C4,C8,C12,C14,C15,C16,C17,C19,C20,C23,C24,C25,C27,C28
Trondheim/audio,0.0006358400000010533,0.0006358400000010533,0.014375839999996032,0.008901759999996983,0.044821920000003956,0.05118032000000028,0.01119663999999787,0.05435951999999844,0.00922807999999975,0.014375839999996032,0.012627279999996688,0.014375839999996032,0.009060719999997247,0.05435951999999844,0.05118032000000028,0.012786239999996951
Trondheim/audio/01,0.000508479999993483,0.0005225600000002828,0.014979359999994557,0.009505279999995508,0.05686624000000151,0.06322463999999783,0.011768319999994503,0.06576704000000078,0.00975951999999225,0.014979359999994557,0.013230799999995213,0.014979359999994557,0.00963239999999388,0.06576704000000078,0.06322463999999783,0.013389759999995476
Trondheim/audio/02,0.0006637600000054533,0.0007838400000004242,0.0163279999999979,0.010853919999998851,0.07028928000000434,0.07664768000000066,0.013124000000001246,0.07933088000000055,0.011122240000002392,0.0163279999999979,0.014579439999998556,0.0163279999999979,0.010988080000000622,0.07933088000000055,0.07664768000000066,0.014738399999998819
Trondheim/audio/03,0.0008171200000042234,0.0010534400000032917,0.017722399999996696,0.012248319999997648,0.11150208000000106,0.09054847999999893,0.014523199999999292,0.09332767999999803,0.012526239999999689,0.017722399999996696,0.015973839999997352,0.017722399999996696,0.012387279999998668,0.09332767999999803,0.09054847999999893,0.016132799999997616
Trondheim/audio/04,0.0005471999999997479,0.0005471999999997479,0.012038399999994454,0.00766079999999647,0.034610399999998265,0.034610399999998265,0.009302399999995714,0.037346399999997004,0.007934399999996344,0.012038399999994454,0.010533599999995147,0.012038399999994454,0.007797599999996407,0.037346399999997004,0.03351599999999877,0.010670399999995084
Trondheim/audio/05,0.0005836800000054154,0.0005836800000054154,0.012840960000005452,0.008171520000004762,0.036917760000001465,0.036917760000001465,0.009922560000006797,0.03983616000000012,0.00846336000000747,0.012840960000005452,0.011235840000004771,0.012840960000005452,0.008317440000006115,0.03983616000000012,0.035750400000004845,0.011381760000006125
Trondheim/audio/06,0.0005657600000006369,0.0005657600000006369,0.012446720000014011,0.007920640000008916,0.03578432000001186,0.03578432000001186,0.009617920000010827,0.038613120000015044,0.008203520000009235,0.012446720000014011,0.01089088000001226,0.012446720000014011,0.008062080000009075,0.038613120000015044,0.034652800000010586,0.011032320000012419
Trondheim/audio/07,0.0005068799999889961,0.0005068799999889961,0.011151359999985289,0.007096319999988054,0.03206016000000034,0.03206016000000034,0.008616959999983465,0.03459456000000216,0.0073497599999825525,0.011151359999985289,0.009757439999987128,0.011151359999985289,0.0072230399999853034,0.03459456000000216,0.031046399999993923,0.009884159999984377
Trondheim/audio/08,0.0005385599999954138,0.0005385599999954138,0.01184832000001279,0.007539840000006848,0.03406392000000835,0.03406392000000835,0.0091555200000073,0.03675672000001384,0.007809120000004555,0.01184832000001279,0.010367280000011192,0.01184832000001279,0.007674480000005701,0.03675672000001384,0.032986800000003313,0.010501920000010045
Trondheim/audio/09,0.0005820799999867177,0.0005820799999867177,0.012805759999992006,0.008149119999991683,0.03681656000000544,0.03681656000000544,0.009895359999987363,0.03972696000001008,0.008440159999985042,0.012805759999992006,0.011205039999993005,0.012805759999992006,0.008294639999988362,0.03972696000001008,0.035652399999996476,0.011350559999989684
