,C0,C4,C5,C9,C11,C13,C16,C29
Trondheim/audio,0.006300159999995003,0.006847999999990861,0.006026239999997074,0.0061631999999960385,0.006026239999997074,0.006574079999992932,0.0061631999999960385,0.006711039999991897
Trondheim/audio/01,0.007057120000009576,0.007057120000009576,0.0043982400000039945,0.002895359999996572,0.0032780800000082877,0.006931040000008437,0.005796320000008848,0.006931040000008437
Trondheim/audio/02,0.008474560000010456,0.008474560000010456,0.005736000000002406,0.004095599999995869,0.00470976000000789,0.008341360000009956,0.007135440000009652,0.008341360000009956
Trondheim/audio/03,0.01004064000001037,0.01004064000001037,0.00858448000001033,0.005650319999993769,0.006297120000006373,0.009896800000010586,0.00858448000001033,0.009896800000010586
Trondheim/audio/04,0.006654720000028647,0.006654720000028647,0.003292799999996987,0.0034233599999993203,0.003604640000020254,0.006516080000025681,0.004664800000000469,0.006516080000025681
Trondheim/audio/05,0.005807040000007646,0.005807040000007646,0.004165920000005485,0.0030067200000019056,0.0032822400000043217,0.00568080000000748,0.004544640000005984,0.00568080000000748
Trondheim/audio/06,0.007388160000033395,0.007388160000033395,0.0036479999999983193,0.003192960000006906,0.0040019200000216415,0.007234240000030923,0.005167999999997619,0.007234240000030923
Trondheim/audio/07,0.007353599999987637,0.007353599999987637,0.0037248000000005277,0.0032390399999826514,0.003983199999993303,0.007200399999987894,0.005276799999997195,0.007200399999987894
Trondheim/audio/08,0.005696639999996478,0.005696639999996478,0.0040867199999965464,0.00295295999998757,0.003219839999999863,0.0055727999999959366,0.00445823999999817,0.0055727999999959366
Trondheim/audio/09,0.007169280000027811,0.007169280000027811,0.0032044799999937368,0.0031718399999931535,0.003883360000017433,0.0070199200000260475,0.004539679999993496,0.0070199200000260475
Trondheim/audio/10,0.007653119999986302,0.007653119999986302,0.0034982400000131975,0.0036249599999962356,0.004145439999987843,0.007493679999988956,0.004955840000015144,0.007493679999988956
Trondheim/video,0.007087680000001484,0.007704000000000377,0.006779520000002037,0.006933600000001761,0.006779520000002037,0.0073958400000009306,0.006933600000001761,0.007549920000000654
Trondheim/video/01,0.008181920000000176,0.008181920000000176,0.004897200000002044,0.003239040000000415,0.004006079999999912,0.008027840000000452,0.00664111999999939,0.008027840000000452
Trondheim/video/02,0.009771999999999892,0.009771999999999892,0.00646208000000037,0.004730320000000177,0.005600640000000823,0.009615679999999571,0.00820655999999964,0.009615679999999571
Trondheim/video/03,0.011133679999998591,0.011133679999998591,0.007807760000002162,0.006246399999996655,0.006943999999998951,0.01097735999999827,0.00956823999999834,0.01097735999999827
Trondheim/video/04,0.0070502400000052035,0.0070502400000052035,0.003598079999999726,0.0037248000000005277,0.003818880000004299,0.006903360000004355,0.005097279999999316,0.006903360000004355
Trondheim/video/05,0.0069158399999906806,0.0069158399999906806,0.003064319999992904,0.002903039999999635,0.0037460799999919914,0.006771759999992355,0.004341119999992316,0.006771759999992355
Trondheim/video/06,0.006873600000005808,0.006873600000005808,0.0030240000000034684,0.0032620800000060513,0.003723200000003146,0.006730400000005687,0.004284000000001953,0.006730400000005687
Trondheim/video/07,0.006301440000015646,0.006301440000015646,0.0029817600000043853,0.003319680000004155,0.003413280000010843,0.0061701600000141354,0.004224160000003252,0.0061701600000141354
Trondheim/video/08,0.006789120000007642,0.006789120000007642,0.0035904000000002156,0.003394560000003821,0.0036774400000041396,0.006647680000007483,0.005086399999999713,0.006647680000007483
Trondheim/video/09,0.006228480000004311,0.006228480000004311,0.003329279999995549,0.00372672000000307,0.003373760000002335,0.006098720000004221,0.004671360000003233,0.006098720000004221
Trondheim/video/10,0.00645104000000174,0.00645104000000174,0.004627920000000785,0.0034617600000004245,0.00364624000000191,0.006310800000001393,0.005048640000001825,0.006310800000001393
