,C0,C3,C10,C11,C12,C19,C24,C26,C28,C29
Trondheim/audio,0.006270719999989183,0.00757711999998989,0.006531999999985771,0.004703039999991887,0.004964319999988476,0.006401359999987477,0.006531999999985771,0.00509495999998677,0.007185199999995007,0.004964319999988476
Trondheim/audio/01,0.007268880000001587,0.008928399999998504,0.007480799999999732,0.0035174400000030914,0.005803280000002076,0.007334239999998715,0.007480799999999732,0.005656720000001059,0.0031871999999992795,0.005803280000002076
Trondheim/audio/02,0.008665839999999037,0.010325359999995953,0.008871519999996025,0.0049144000000005406,0.007193999999998368,0.008731199999996164,0.008871519999996025,0.007053679999998508,0.004479120000002723,0.007193999999998368
Trondheim/audio/03,0.010290159999996717,0.010157440000000406,0.010444639999995786,0.006568399999999031,0.00876711999999813,0.010290159999996717,0.010444639999995786,0.008612639999999061,0.006049600000004318,0.00876711999999813
Trondheim/audio/04,0.00663520000000517,0.008294000000006463,0.006786000000005288,0.00361920000000282,0.005278000000004113,0.00663520000000517,0.006786000000005288,0.005127200000003995,0.0034847999999954027,0.005278000000004113
Trondheim/audio/05,0.0063113600000122005,0.00788920000001525,0.006454800000014416,0.0034425600000105305,0.005020400000013581,0.0063113600000122005,0.006454800000014416,0.0048769600000113655,0.002926079999994613,0.005020400000013581
Trondheim/audio/06,0.005741120000010369,0.007176400000012961,0.0058716000000131885,0.0031315200000108234,0.004566800000013416,0.005741120000010369,0.0058716000000131885,0.004436320000010596,0.003542399999986401,0.004566800000013416
Trondheim/audio/07,0.007025920000018004,0.008782400000022506,0.007185600000020997,0.003832320000014988,0.005588800000019489,0.007025920000018004,0.007185600000020997,0.005429120000016496,0.0034540799999973615,0.005588800000019489
Trondheim/audio/08,0.005565119999999979,0.006956399999999974,0.005691599999998687,0.0030355199999974047,0.0044267999999973995,0.005565119999999979,0.005691599999998687,0.004300319999998692,0.0029760000000038644,0.0044267999999973995
Trondheim/audio/09,0.007029439999996612,0.008786799999995765,0.0071891999999991185,0.0038342400000033194,0.005591600000002472,0.007029439999996612,0.0071891999999991185,0.005431839999999966,0.0037785600000148634,0.005591600000002472
Trondheim/audio/10,0.006733760000003031,0.008417200000003788,0.0068868000000037455,0.003672960000002945,0.005356400000003703,0.006733760000003031,0.0068868000000037455,0.005203360000002988,0.0036230399999936935,0.005356400000003703
Trondheim/video,0.007199999999997431,0.008699999999997488,0.0074999999999967315,0.005399999999998073,0.005699999999997374,0.007349999999997081,0.0074999999999967315,0.005849999999997024,0.008249999999998536,0.005699999999997374
Trondheim/video/01,0.007321599999999151,0.008821599999999208,0.007611199999999485,0.003350400000002196,0.005698000000000647,0.007471599999998801,0.007611199999999485,0.005558399999999963,0.0038246399999977143,0.005698000000000647
Trondheim/video/02,0.008586479999998176,0.010086479999998232,0.008864159999998122,0.004615280000001221,0.006950959999999284,0.008736479999997826,0.008864159999998122,0.006823279999998988,0.00500375999999747,0.006950959999999284
Trondheim/video/03,0.010068319999998465,0.009768319999999164,0.010364639999998815,0.0061777600000016974,0.008451439999999977,0.010218319999998116,0.010364639999998815,0.008305119999999278,0.006443199999999649,0.008451439999999977
Trondheim/video/04,0.006188160000000664,0.00773520000000083,0.006328800000000356,0.0033753599999997164,0.004922399999999882,0.006188160000000664,0.006328800000000356,0.00478176000000019,0.003726719999999517,0.004922399999999882
Trondheim/video/05,0.006793599999994626,0.008491999999993283,0.006947999999994181,0.003705599999996423,0.005403999999995079,0.006793599999994626,0.006947999999994181,0.0052495999999955245,0.0036000000000058208,0.005403999999995079
Trondheim/video/06,0.0056320000000056325,0.007040000000007041,0.0057600000000057605,0.0030720000000030723,0.00448000000000448,0.0056320000000056325,0.0057600000000057605,0.004352000000004352,0.0057600000000057605,0.00448000000000448
Trondheim/video/07,0.0057587200000028815,0.007198400000003602,0.00588960000000327,0.0031411200000022177,0.004580800000002938,0.0057587200000028815,0.00588960000000327,0.00444992000000255,0.00588960000000327,0.004580800000002938
Trondheim/video/08,0.006818399999996672,0.008333599999996721,0.006818399999996672,0.0036364799999972774,0.005303199999996622,0.006666879999997377,0.006818399999996672,0.005151679999997327,0.0036345600000018408,0.005303199999996622
Trondheim/video/09,0.005878400000000283,0.007348000000000354,0.006012000000001905,0.0032064000000033843,0.004676000000003455,0.005878400000000283,0.006012000000001905,0.004542400000001834,0.006012000000001905,0.004676000000003455
Trondheim/video/10,0.006107199999988211,0.007633999999985264,0.006245999999986651,0.003331199999990986,0.0048579999999880386,0.006107199999988211,0.006245999999986651,0.004719199999989598,0.003191039999990153,0.0048579999999880386
