,C0,C3,C5,C7,C14,C15,C16,C17,C18,C20,C21,C26
Trondheim/audio,0.016737599999991915,0.01354223999999249,0.01415087999998832,0.01354223999999249,0.01611279999999482,0.012020639999992255,0.01354223999999249,0.01810703999999319,0.012933599999996659,0.015063839999992723,0.015063839999992723,0.01171631999999434
Trondheim/audio/01,0.012994800000001305,0.008291920000004893,0.008291920000004893,0.006806800000003221,0.009405760000003482,0.006806800000003221,0.008044400000002838,0.014232400000000922,0.005152719999998112,0.012994800000001305,0.009282000000002455,0.005445440000002577
Trondheim/audio/02,0.01498952000001097,0.010010000000004737,0.010010000000004737,0.008437520000004639,0.01117480000000981,0.008437520000004639,0.009747920000005905,0.016299920000012236,0.008489360000002222,0.01498952000001097,0.011058320000007171,0.006996080000003957
Trondheim/audio/03,0.016238320000013573,0.0112532000000094,0.011242000000013519,0.009680720000009302,0.012423600000012414,0.009680720000009302,0.010996720000008509,0.01754872000001484,0.011127760000007925,0.016238320000013573,0.01080968000000837,0.00824488000000656
Trondheim/audio/04,,0.009390720000013175,0.009390720000013175,0.007708800000010285,0.010512000000012733,0.007708800000010285,,,0.006155039999995893,,0.010512000000012733,0.006167040000008228
Trondheim/audio/05,,0.009065999999990026,0.010071440000032794,0.0082676000000248,0.008945119999992812,0.007736319999992247,,,0.006063439999998366,,0.01127400000002865,0.00661408000001984
Trondheim/audio/06,,0.008104319999993947,0.008104319999993947,0.006652799999997683,0.0090720000000033,0.006652799999997683,,,0.006474720000014145,,0.0090720000000033,0.005322239999998146
Trondheim/audio/07,,0.008420559999976263,0.008420559999976263,0.006912399999983165,0.009425999999983503,0.006912399999983165,,,0.005533920000004855,,0.009425999999983503,0.005529919999986532
Trondheim/audio/08,,0.010537760000012497,0.010537760000012497,0.008650400000007608,0.010472479999975803,0.008650400000007608,0.010223200000005761,,0.006657199999985153,,0.011796000000003914,0.006920320000006086
Trondheim/audio/09,,0.009282000000027324,0.009889199999967957,0.008117999999974757,0.009158240000026296,0.008117999999974757,,,0.00633527999998762,,0.01106999999996816,0.006494399999979805
Trondheim/audio/10,,0.008393760000011241,0.008393760000011241,0.006890400000010288,0.009396000000016613,0.006890400000010288,,,0.0058531199999976025,,0.009396000000016613,0.005512320000008231
Trondheim/video,0.017441599999994395,0.014111839999994658,0.014746079999991224,0.014111839999994658,0.016948799999994435,0.01252623999999436,0.014111839999994658,0.01886863999999555,0.013477599999998091,0.015697439999994955,0.015769919999994997,0.012209119999996076
Trondheim/video/01,0.014296799999993226,0.009122719999997031,0.009122719999997031,0.007488799999997298,0.010348159999995943,0.007488799999997298,0.008850399999996483,,0.00547919999999813,0.014296799999993226,0.010211999999995669,0.005991039999997838
Trondheim/video/02,0.01565663999999245,0.010482399999995451,0.010482079999993843,0.008848479999995718,0.011707999999995167,0.008848479999995718,0.010210239999995707,0.017016639999992478,0.008519519999996561,0.01565663999999245,0.011571839999994893,0.007350879999997062
Trondheim/video/03,0.017683999999993816,0.012266719999997733,0.012266719999997733,0.010555999999997567,0.013536959999996157,0.010555999999997567,0.011981599999996817,0.019109599999993065,0.00989095999999634,0.017683999999993816,0.01183903999999636,0.00898783999999786
Trondheim/video/04,,0.009278160000004476,0.009278160000004476,0.007616400000003409,0.010386000000004003,0.007616400000003409,,,0.005594800000000788,,0.010386000000004003,0.0060931200000027275
Trondheim/video/05,,0.009664079999996744,0.009664079999996744,0.007933199999996532,0.010817999999993333,0.007933199999996532,,,0.005751519999993349,,0.010817999999993333,0.0063465599999972255
Trondheim/video/06,,0.009203120000005782,0.009203120000005782,0.007554800000004747,0.010302000000006473,0.007554800000004747,,,0.00615216000000629,,0.010302000000006473,0.006043840000003797
Trondheim/video/07,,0.00948719999998815,0.00948719999998815,0.007787999999990802,0.01061999999998875,0.007787999999990802,,,0.006565439999995704,,0.01061999999998875,0.006230399999992642
Trondheim/video/08,,0.009889199999989273,0.009889199999989273,0.00811799999999252,0.01106999999999303,0.00811799999999252,,,0.005961519999992504,,0.01106999999999303,0.006494399999994016
Trondheim/video/09,,0.009358559999991911,0.009358559999991911,0.007682399999993095,0.010475999999989938,0.007682399999993095,,,0.00569751999999113,,0.010475999999989938,0.006145919999994476
Trondheim/video/10,,0.0082168800000062,0.0082168800000062,0.006745200000004559,0.009198000000004924,0.006745200000004559,,,0.005745599999997353,,0.009198000000004924,0.005396160000003647
