,C0,C1,C2,C12,C13,C15,C16,C21,C27
Trondheim/audio,0.00835823999999974,0.0044324000000024455,0.0072184800000023586,0.00772504000000751,0.007091840000001071,0.0074717600000049345,0.008484880000001027,0.005825440000002402,0.00716072000000878
Trondheim/audio/01,0.006502959999995284,0.000525440000004096,0.006562399999999968,0.00707304000000164,0.005069360000000245,0.006817040000001384,0.007842400000001248,0.0035840000000035843,0.005069360000000245
Trondheim/audio/02,0.007740719999993928,0.0006718399999989799,0.007800159999998613,0.00829927999999569,0.006307119999998889,0.008050959999998497,0.009080159999999893,0.004814079999999166,0.006307119999998889
Trondheim/audio/03,0.010635599999993417,0.000832559999999205,0.009179039999999361,0.009715600000003377,0.009052399999998073,0.009442320000001558,0.008925759999996785,0.006321600000003258,0.007685999999999638
Trondheim/audio/04,0.005769280000009758,0.0006172800000001644,0.005769280000009758,0.0060315200000076175,0.004458080000006248,0.005769280000009758,0.008391680000016777,0.0031468800000027386,0.004720320000004108
Trondheim/audio/05,0.007733760000014911,0.0005427199999985532,0.006376960000011422,0.008005120000014188,0.006376960000011422,0.007733760000014911,0.0090905600000184,0.005020160000007934,0.006105600000012146
Trondheim/audio/06,0.008244480000008991,0.0005785600000081104,0.008244480000008991,0.008533760000013046,0.006798080000010032,0.008244480000008991,0.009690880000007951,0.005351680000011072,0.0065088000000059765
Trondheim/audio/07,0.009102720000015552,0.0005516800000009425,0.006482240000011075,0.008137280000013902,0.006482240000011075,0.007861440000013431,0.009240640000015787,0.005103040000008718,0.0062064000000106034
Trondheim/audio/08,0.008335680000001844,0.0005849599999976363,0.008335680000001844,0.008628160000000662,0.006873280000000648,0.008335680000001844,0.011260480000004236,0.005410879999999452,0.00658080000000183
Trondheim/audio/09,0.007893359999961547,0.000553919999987329,0.0065085599999648025,0.008170319999955211,0.0065085599999648025,0.007893359999961547,0.009278159999958291,0.005123759999968058,0.006231599999971138
Trondheim/audio/10,0.008778000000006614,0.0006160000000079435,0.008778000000006614,0.009086000000010586,0.007238000000008071,0.008778000000006614,0.011858000000003699,0.005698000000009529,0.0069300000000040995
Trondheim/video,0.010058399999994805,0.005333999999995953,0.008686799999994221,0.009296399999991323,0.008534399999994946,0.008991599999992772,0.01021079999999408,0.007010399999995087,0.008534399999994946
Trondheim/video/01,0.007232880000000108,0.0005519999999989977,0.0071668799999997646,0.007702319999999929,0.005537679999999767,0.007446959999999336,0.008690879999999623,0.003575040000001195,0.005537679999999767
Trondheim/video/02,0.008738479999999882,0.000684639999999348,0.008672479999999538,0.009270319999998833,0.007043279999999541,0.00897335999999882,0.010196479999999397,0.005371840000000461,0.007043279999999541
Trondheim/video/03,0.010214480000000137,0.0008597600000008754,0.010148479999999793,0.010743919999997686,0.008519279999999796,0.010448559999998608,0.009843680000001243,0.006846239999999781,0.008519279999999796
Trondheim/video/04,0.00861696000000478,0.0005222400000022276,0.006136320000004858,0.007703040000006212,0.00992256000000502,0.007441920000005098,0.008747520000005338,0.006266880000005415,0.005875200000003744
Trondheim/video/05,0.00897072000000776,0.0005436800000069297,0.00638824000001037,0.008019280000013396,0.01032992000000732,0.007747440000009931,0.009106640000009492,0.0065241600000121025,0.006116400000006905
Trondheim/video/06,0.009361439999999277,0.0005673600000051238,0.006666480000003361,0.008368560000004521,0.010779839999997876,0.00808488000000196,0.009503280000000558,0.006808320000004642,0.006382800000000799
Trondheim/video/07,0.00809424000000547,0.0004905600000029153,0.005764080000005833,0.007235760000007474,0.009320640000005653,0.006990480000006016,0.0082168800000062,0.005886720000006562,0.005518800000004376
Trondheim/video/08,0.010364639999998815,0.0006281600000050958,0.007380880000003032,0.009265360000004108,0.007380880000003032,0.00895128000000156,0.010521680000000089,0.005810480000004503,0.007066800000000484
Trondheim/video/09,0.010248480000001337,0.0006211200000052486,0.008850960000003738,0.009161520000006362,0.011801280000000247,0.008850960000003738,0.010403760000002649,0.005745360000005917,0.006987600000002203
Trondheim/video/10,0.008685599999992633,0.0005263999999982616,0.0061851999999937846,0.007764399999992122,0.01000159999999184,0.007501199999992991,0.008817199999992198,0.00631679999999335,0.005921999999994654
