,C0,C1,C2,C3,C6,C7,C8,C10,C11,C12,C15,C16
Trondheim/audio,,229.86247855999994,228.8953935999998,47.5009217600001,47.50105344000008,,228.89697375999975,,228.91264367999975,47.5009217600001,228.90974671999982,47.556359040000075
Trondheim/audio/01,,192.81604720000024,301.36070392000045,281.99455943999976,300.3516099200003,,276.4151601599998,,278.1081865599999,300.9282742400004,,277.48511888000013
Trondheim/audio/02,,179.22918768000045,276.4141370399999,,179.23036080000043,,,,276.4156034399999,179.23050744000045,276.42865439999986,179.28051168000053
Trondheim/audio/03,,,,209.89552120000047,284.9308673599996,,205.85965944000054,,276.39909575999974,,,
Trondheim/audio/04,,,,237.15242912000036,,,279.39945791999986,,215.3841516800004,,214.66542528000036,279.44260351999986
Trondheim/audio/05,,249.7279048000002,376.3795923200002,248.4484291200004,,,282.39945791999986,,282.7019410399998,226.24441776000032,225.17281416000048,293.4396110399999
Trondheim/audio/06,,234.5839048000002,,,,,,,234.6798972000002,,286.434858,298.2441316
Trondheim/audio/07,,251.29910024000054,248.9700528800003,267.7600699200003,,,296.9436421599997,,288.4693723199996,289.4304615199996,249.0002448800006,337.47183064000023
Trondheim/audio/08,,306.98944735999913,292.25465719999977,279.7669480000003,,,292.6007074400002,,260.37423328000057,260.38585720000015,292.28484920000005,267.5831796000001
Trondheim/audio/09,,272.4131860800005,272.84561576000056,,,,,,294.4312747199998,270.75353888000035,294.47309063999967,280.0429381600005
Trondheim/audio/10,,280.96804560000027,392.08091735999915,297.4163649599998,297.41623791999973,,392.08345815999905,,392.0821877599991,,297.4289419199997,
Trondheim/video,224.69052752,27.501135359999978,224.68626992000003,224.68612800000002,27.506244479999907,27.503547999999938,224.68626992000003,27.506244479999907,27.539169919999892,27.506244479999907,224.72174992000012,224.68570224
Trondheim/video/01,257.0659443999995,49.40212080000009,49.404676080000115,252.19750327999998,252.19287943999996,252.19373119999995,49.404676080000115,173.0268276000005,49.4033376000001,252.19604311999996,49.41185520000005,254.10275744
Trondheim/video/02,348.81956344,260.13650807999863,252.1921946399999,348.8146587200001,352.5277768800005,252.19073647999994,252.19378535999988,252.19378535999988,252.23753015999966,348.81730992000007,348.82367280000017,348.8147912800001
Trondheim/video/03,361.17156344,260.13650807999863,252.1921946399999,361.1666587200001,364.87977688000046,252.19073647999994,252.19378535999988,252.19378535999988,252.23753015999966,361.16930992000005,361.17567280000014,361.1667912800001
Trondheim/video/04,377.5989280000002,263.13643791999925,380.8945480000008,,377.80784703999984,377.60052080000025,,255.18967599999996,,255.23746000000028,,
Trondheim/video/05,95.67251928000024,95.66971696000013,95.66983880000015,95.67958600000009,95.68092624000013,258.2633566400001,258.26798656000045,258.26567160000013,258.26689000000016,258.26567160000013,95.69798383999967,261.2454328000003
Trondheim/video/06,386.2591820800004,388.76718311999934,284.75180280000075,385.1917177600002,386.46810112000003,386.26077488000044,261.2734219199998,261.2734219199998,266.9211018399998,261.3212059200001,261.2262411199998,385.1634092800002
Trondheim/video/07,180.13265279999996,264.26635983999995,121.47543456000011,193.14210256000024,121.47121856000018,121.47121856000018,264.19389679999995,270.40294680000045,264.26227984,264.2689438399999,121.50127456000035,
Trondheim/video/08,194.91786120000052,134.35446592000028,,267.2694446400001,,267.26660304000006,,267.9057383999999,145.33192192000018,134.35020352000026,267.29757648000003,134.34878272000026
Trondheim/video/09,144.16927800000002,272.347494,141.38546776000032,141.39641656000038,,141.39357496000036,141.38789176000034,270.26213184000005,280.5802204000002,272.34323159999997,,272.34181079999996
Trondheim/video/10,,,,,166.65210400000018,,,,,,273.24731440000016,
