,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Trondheim/audio,96.92005999999998,50.50124160000006,66.82156575999997,66.82516639999997,66.94442879999991,50.50124160000006,44.50252320000004,81.51731984,66.81784095999997,63.646759999999915,96.91879839999996,59.792725759999996,60.891999999999996,64.1662208000001,80.64399999999995,54.746156880000115
Trondheim/audio/01,135.17190623999997,77.81899536000012,77.81300816000007,,,135.14675999999997,77.81899536000012,135.14675999999997,78.94059712000004,142.14530808,,,135.15394463999993,77.81435528000009,132.99200000000002,
Trondheim/audio/02,,65.11212264000005,,,,,,,65.11082264000007,117.31908256000003,,,,40.6106848,,
Trondheim/audio/03,,,535.3587078399999,,117.3404473600001,538.4331030399995,,535.3575738399999,,,,,,,117.32280736000007,
Trondheim/audio/04,121.81881296000005,110.63853503999997,121.78767952,104.65208864000003,120.32766016000001,104.65208864000003,104.65208864000003,104.65208864000003,120.52130359999995,122.51137016000007,120.32361615999999,104.64534864000008,121.80085136000001,121.78902664000002,188.81600000000003,104.62782464000007
Trondheim/audio/05,,542.5028166399997,542.5144014399997,,,126.1311489599999,,542.5016581599997,123.32280736000007,542.5015294399997,,,,123.32538176000003,123.32280736000007,
Trondheim/audio/06,126.3210716800001,129.17152480000016,124.13224335999988,115.99409279999983,115.9693708799999,126.32220832000013,101.78361840000005,96.95179543999998,133.10843040000017,105.6670928,115.96667135999988,126.6637439999995,126.31979296000009,86.34562559999995,211.16800000000006,115.96652927999989
Trondheim/audio/07,,,,,317.51763360000024,,,,,,,,,,,
Trondheim/audio/08,156.33715200000017,133.54650544000015,148.0132627199999,139.75511215999984,132.3371889600001,139.46835664000002,171.65599999999995,156.2679808000003,151.53735519999987,175.1798864,166.27999999999997,164.04621663999984,168.44812480000002,158.21220479999985,229.824,152.17881440000002
Trondheim/audio/09,182.10695840000005,135.75402663999995,160.1177415200001,151.85959096000005,151.83669176000006,135.32609544000007,193.1919999999999,178.49677512000008,161.1853551999999,211.10400000000004,191.92271999999997,,193.84800000000007,180.84000000000006,253.856,180.0172236799998
Trondheim/audio/10,216.72800000000007,235.91550079999985,138.32715408000007,235.90637071999987,138.32715408000007,235.88519951999984,221.24799999999993,209.68906880000017,,,,138.34051840000012,217.38675360000013,,266.144,235.88003903999987
Trondheim/video,25.672234559999836,123.6673112000001,24.514568399999987,131.03515472000015,27.883498079999953,123.6673112000001,127.79034864000018,28.022165119999897,129.04811600000022,24.86344879999986,25.670972959999816,25.644174559999854,127.78782544000019,28.56222903999989,123.68855120000019,131.14399176000026
Trondheim/video/01,148.57532160000017,148.55783039999994,389.84677919999933,148.55928799999992,148.55491519999998,148.57532160000017,148.56351503999986,389.79139039999984,389.7928479999998,389.79139039999984,148.56351503999986,389.83234895999976,389.8031969599997,389.80028175999973,148.55651855999997,389.79139039999984
Trondheim/video/02,407.00854992000006,407.0118410399999,407.0119977599999,407.0119977599999,407.0061991199999,148.56955263999987,148.55262687999982,148.57926927999995,148.55560455999978,148.55262687999982,148.55403735999982,148.57926927999995,407.0069827200001,407.00870664,407.04616271999987,148.55262687999982
Trondheim/video/03,419.52854992000005,419.5318410399999,419.53199775999985,419.53199775999985,419.5261991199999,148.56955263999987,148.55262687999982,148.57926927999995,148.55560455999978,148.55262687999982,148.55403735999982,148.57926927999995,419.5269827200001,419.52870664,419.56616271999985,148.55262687999982
Trondheim/video/04,,,,,309.76695071999984,,,,,,,,,,,
Trondheim/video/05,230.75475040000012,160.5558328,,225.8601864,157.36041783999997,,234.64531839999987,260.9970320000001,232.20048080000015,225.82322959999996,159.4636776,,161.1840032000001,225.82578319999996,267.26358216000006,160.53333839999996
Trondheim/video/06,,,422.56305743999974,422.56305743999974,422.5581991199999,157.57049296000002,422.5581991199999,157.5802096000001,,,157.55654487999993,157.5802096000001,157.55341048000003,,422.59722239999974,
Trondheim/video/07,300.8063776,160.23877720000016,239.3638787999998,170.92374400000003,160.1818796000001,241.87603015999994,,160.60297119999996,253.90448080000016,256.36241440000003,255.41357599999972,262.44300743999986,,236.70648007999978,306.11702880000007,239.38524199999986
Trondheim/video/08,163.55325760000005,426.0389904000001,429.13779983999973,429.13779983999973,429.1329415199999,163.57175056000005,429.1329415199999,163.58146720000013,163.55200000000002,426.03785856,163.55780247999996,163.58146720000013,163.55466808000006,163.55212575999997,429.1719647999997,426.0389904000001
Trondheim/video/09,438.16187591999983,166.55920096,439.97985647999974,439.97985647999974,439.9749981599999,166.57769392,439.9749981599999,439.97985647999974,166.55200000000002,438.15799847999995,166.5637458399999,,166.56061144,166.55213848000005,166.62157552000008,438.1592447999999
Trondheim/video/10,169.55502400000012,,452.0828654399994,452.0828654399994,452.0780071199996,169.59468496000034,452.0780071199996,452.0828654399994,,,169.58073688000025,169.57619200000033,169.57760248000034,451.5546744000002,169.6385665600004,451.5514992000001
