,C0,C1,C2,C3,C5,C6,C7,C8,C9,C11,C12
Trondheim/audio,44.501416240000054,,183.42200592000003,44.507710640000056,44.50912688000005,,183.42515312000003,183.41398056000003,44.501416240000054,183.41728512000003,183.45520888000004
Trondheim/audio/01,132.6123744,,134.21793623999997,137.62227543999995,137.38848879999998,,,239.79816359999944,,54.128228239999856,183.60400512000018
Trondheim/audio/02,227.92152856000007,,230.10324056000047,230.55379352000068,232.01100712000073,,325.5341178399997,,328.31176167999934,325.5116490399997,327.8621984799994
Trondheim/audio/03,173.18037440000003,,175.12193624000003,179.40627544,165.7404888,,173.75574423999996,179.62418815999956,180.49875143999967,102.07917703999996,197.49200512000016
Trondheim/audio/04,185.44437440000004,,186.62593624000004,190.30227544000002,177.5244888,,184.61174423999995,205.96018815999952,191.6827514399997,123.30271943999983,209.38000512000013
Trondheim/audio/05,194.69237440000003,,196.92193624000004,225.79027543999996,202.79648880000005,,197.86001303999996,218.36818815999953,203.89885384000004,161.74045575999995,220.86800512000013
Trondheim/audio/06,204.13237440000003,,209.68193624000003,,214.63648880000002,,,,213.70685384000004,173.1422429599999,
Trondheim/audio/07,215.0923744,,222.32193624,205.83027543999998,223.8364888,,215.61918743999985,226.46418815999954,225.01885384000005,183.4062429599999,229.64110327999992
Trondheim/audio/08,224.0923744,,231.32993624,232.72627543999994,236.3324888,,,236.7201881599995,275.27485384,194.19824295999987,300.1211032799998
Trondheim/audio/09,236.0203744,,294.83393624000007,254.20478856000068,248.06848879999998,,289.3312034399994,248.3361881599995,285.38685383999996,204.71024295999987,355.2091032799993
Trondheim/audio/10,246.81237439999998,,321.20993624000005,280.14227543999993,257.7244888,,266.5915762399998,272.2881881599995,295.0668538399999,214.17424295999987,364.98510327999924
Trondheim/video,24.501194479999953,170.3856911200001,170.38170952000013,24.550300879999895,24.517120879999936,24.543664879999938,170.3883455200001,170.38170952000013,170.3843639200001,,24.551893519999993
Trondheim/video/01,104.12800479999999,104.12932567999997,194.93864639999998,194.94585119999994,196.32258023999987,194.94945359999997,104.15094007999988,115.28426136000019,194.94092791999998,,104.14133367999995
Trondheim/video/02,222.1746730400003,194.93864639999998,202.10289384000026,286.6650981599998,309.8440957599998,280.59458071999995,280.56966792,224.47007295999975,197.4549744800002,,285.26246455999984
Trondheim/video/03,221.86480256000027,294.32845119999996,201.79302336000023,300.3989686399998,323.5779662399998,294.32845119999996,194.93998879999998,224.16020247999973,197.14510400000017,,298.99633503999985
Trondheim/video/04,215.56896384000004,304.52845119999995,319.8948073600001,315.2468879999999,228.15356392000058,304.52845119999995,197.93998879999998,345.36920487999953,200.14510400000017,,206.3425510400001
Trondheim/video/05,115.76030399999988,200.8888208000001,310.26437855999956,115.77509599999988,208.64239024000057,200.89917520000014,115.7647415999999,305.61645919999944,200.8873416000001,,202.77297984000057
Trondheim/video/06,378.89498015999914,,381.03013183999985,203.95122656000024,381.99546160000057,,203.94202080000002,,378.89765279999904,,206.3753071999995
Trondheim/video/07,460.29909439999864,,206.935992,460.29909439999864,,,,,,,206.97145200000017
Trondheim/video/08,130.96979287999963,130.9247600799998,130.92364047999982,209.88556592000006,209.89041752000017,130.9286164799996,130.92724807999977,220.40391936000046,209.88544152000006,,209.89153712000032
Trondheim/video/09,216.7518615200003,212.90167752000005,160.74949687999978,160.97872007999976,219.9332719200003,159.1359096799998,159.1343736799998,159.13422007999984,212.8817095200001,,222.14962080000052
Trondheim/video/10,219.79950800000023,215.949324,170.27785039999986,223.2101416000002,248.54056952000002,168.66426319999988,168.6627271999999,168.66257359999992,215.92935600000004,,172.4941992800001
