,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Trondheim/video,24.50164839999998,64.27200512,64.26972272000002,24.501775199999983,24.50164839999998,53.704543679999915,64.27073712000002,63.52157999999994,45.483999999999966,40.15304639999998,43.555999999999955,50.14022399999995,50.30405695999987,49.66115999999997
Trondheim/video/01,88.77333879999998,60.584924720000004,60.58235159999995,74.22928975999989,88.77333879999998,190.3789958400002,60.58356247999998,45.252339999999975,110.80405695999991,88.77651735999999,55.424000000000035,,190.3925830400002,42.584046400000005
Trondheim/video/02,88.77333879999998,,73.21435159999996,88.78896032,88.77333879999998,,73.21556247999999,,,73.22010328000002,67.48000000000005,94.46897968000005,,
Trondheim/video/03,270.5045327200002,270.5072415200007,89.32648119999936,,,270.50412639999996,88.79830056000031,88.81414703999991,88.79830056000031,270.50575168000023,88.79938408000032,88.7873299200001,270.50277200000016,270.4987088000001
Trondheim/video/04,95.60147959999992,91.77381912000001,94.90917912000003,101.94876088000001,95.62854359999992,96.13716423999995,91.77653912000002,86.95560719999989,96.592,95.61086359999996,96.57896760000034,101.05137600000002,74.8638832000001,83.33284320000007
Trondheim/video/05,94.77331488000002,156.31527791999977,154.58235159999992,94.77989376000002,154.61285367999986,,154.5835477599999,102.77427408000008,,154.58608959999987,,,94.77525864000003,99.68314632000022
Trondheim/video/07,131.43973559999992,100.77500791999998,131.43835159999992,131.44139639999992,,139.85145632,,123.11597199999986,128.58115120000008,100.77552312,140.27141632000001,147.33060959999995,100.77303192,114.18284000000006
Trondheim/video/08,160.4835169599999,,103.77614952000008,160.4900958399999,103.80665159999998,,103.77734568000002,170.18690039999987,,103.77988752000002,160.48157319999987,161.76260960000002,160.4854607199999,
Trondheim/video/09,106.77529880000003,200.31287848,200.30806919999998,,106.7993452,207.0397076000001,106.77783000000005,106.77656440000004,106.7993452,200.30908167999996,,,,200.31034727999997
Trondheim/video/10,109.7743591200001,212.8794560799999,212.87606920000002,109.77619368000018,109.8058288800002,115.05071096000029,212.88792327999994,212.90034183999984,212.90034183999984,109.77450024000012,109.77393576000003,,212.87733928,212.8781859999999
