,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
Trondheim/audio,254.4592925600001,44.519571519999886,259.0401213600004,254.43435752000016,44.502512560000014,46.33270743999975,,254.45260664000017,45.15337096000002,258.9714237600003,44.50119016000002,254.43422528000013,50.906458719999705,254.4340930400001,44.50132240000005,254.4340930400001,53.05328343999952
Trondheim/audio/01,,,,,298.9365666400002,300.5866610400001,,298.96006584000014,,,,50.451360320000106,,50.45160768000011,50.45754432000001,298.9390402400002,55.093338959999755
Trondheim/audio/02,69.87055488000004,69.87197248000007,69.90741248,298.9342348000002,298.93536888000017,299.9485875199998,,298.9583340000004,69.88898367999991,298.9342348000002,298.9795980000005,69.87183072000005,69.90741248,298.93707000000023,298.9781804000005,69.87197248000007,69.87197248000007
Trondheim/audio/03,82.24655488000002,298.9366447200002,97.12873264000041,106.4500084800004,82.39836024000004,83.25849767999966,,82.26966176000025,298.9728602400001,299.1400570399998,82.41455304000004,298.9355106400002,298.9728602400001,82.2483977600001,298.97350232000014,82.24669664000004,298.9366447200002
Trondheim/audio/04,302.27667544000013,91.20252416000005,134.34148792000047,91.19997248000004,302.39171632000017,92.13628367999962,,302.29978232000036,183.3065288799998,302.6432256000001,124.87521431999994,91.20139008000007,305.68810496000003,302.2785183200002,91.23938176000001,302.27681720000015,91.20252416000005
Trondheim/audio/05,107.10256520000007,107.10682343999997,313.31137264000074,309.9359870400005,107.10682343999997,191.5985084800003,,107.14119351999994,304.94124080000023,304.9342451200002,304.9409366400002,304.9359180000002,110.86207847999975,107.10956087999989,304.9360700800002,111.95822023999978,306.8062239999999
Trondheim/audio/06,116.67398120000007,307.9510873600001,211.31767816000024,126.30919544000005,307.9510873600001,114.06744671999996,,116.71230536000013,195.1240664799999,308.6478576000002,202.3766712799997,116.67565408000007,308.6478576000002,307.9538248,116.67580616000009,317.76590192000015,307.94667704000017
Trondheim/audio/07,285.47708783999934,285.48459071999974,310.9435680000004,310.93684128000024,310.9383936000002,285.4844613599992,,310.9436973600004,310.96814639999974,310.93826424000025,285.4821328799996,285.47941631999953,310.9435680000004,310.95016536000065,285.48083927999954,285.48717791999985,285.47825207999944
Trondheim/audio/08,157.24809248000014,313.9352047200002,320.66150040000036,161.43829287999978,156.96913439999986,,,313.9926098400001,156.96776863999986,313.97398584000007,156.95162783999984,127.16224224000001,313.93673784000015,127.16100704000002,,319.66796504000024,
Trondheim/audio/09,316.9380184800002,141.28790208000004,,152.74692319999997,141.28668384000002,166.38296079999998,,141.32296031999994,224.1920504799997,141.28668384000002,180.12924567999977,166.38865040000007,316.93528320000013,316.9381538400002,316.9365295200002,319.0432469600003,316.9497716800002
Trondheim/audio/10,289.02908783999936,,,319.93684128000024,,289.04021279999944,,319.9399459200002,289.0673783999994,319.93826424000025,289.0378843199998,289.03141631999955,319.9398165600002,,319.9398165600002,,289.03025207999946
Trondheim/video,63.56863184000004,63.57365904000001,116.65690328000004,33.503124799999995,24.50125679999998,24.987044959999977,64.03736304000002,48.23082863999993,53.45262239999994,76.72187520000001,116.65531928000003,47.806544,30.499999999999986,45.40911039999989,38.04658559999996,44.69119839999992,37.67332799999991
Trondheim/video/01,227.24002232000015,,,227.2431303200002,,227.48222416,,88.10977583999988,,,,88.07440384000006,,,,,99.41118063999994
Trondheim/video/02,242.03202232000012,242.0373319200001,,,242.0284598400001,88.31349767999978,88.06863184000002,242.07050232000006,,,,88.07307256000007,,242.0333536000001,88.07440384,88.06965488000003,253.37190712000012
Trondheim/video/03,93.82274760000004,88.07886416,59.83510880000003,88.07118944000001,93.84369048000002,99.31980799999997,93.82404840000004,88.10748176000007,83.91137760000007,87.28225600000006,58.86400000000003,88.10748176000007,55.282716799999974,93.82404840000004,93.82391832000005,69.50400735999999,88.07118944000001
Trondheim/video/04,103.11074760000005,91.07886416,,91.07118944000001,91.09850623999998,115.062288,,103.14066600000012,97.42014560000007,99.63425600000006,,103.14066600000012,,103.11204840000005,103.11191832000006,79.29600735999999,91.07118944000001
Trondheim/video/05,113.45474872000005,94.08012224000012,109.35727592000023,125.33381479999994,94.07251264000004,,113.45619192000007,96.06971536000017,211.67955287999996,109.28857832000011,217.37000727999987,94.07120064000003,214.49330415999987,93.1763936000001,113.45619192000007,91.80043103999999,154.17607679999998
Trondheim/video/06,97.07614920000003,97.08067152000069,583.9006051999991,97.07628624000006,97.07779368000013,583.9111572799989,97.07601216,,583.9123906399984,583.9045793599992,583.899234799999,583.9018385599991,97.07601216,97.08629016000134,583.899371839999,583.899234799999,97.07601216
Trondheim/video/07,153.36720200000002,100.07127024000002,98.21070399999999,,122.0491295200001,161.24488799999995,146.2928655999999,128.02470152000012,,,103.08000000000004,112.76808640000004,97.5386464,119.81825759999998,122.17534048000056,114.43741440000004,110.17867199999992
Trondheim/video/08,103.07563583999999,103.07146912000002,108.19470399999997,138.24819800000006,138.24819800000006,184.00729599999988,160.63772319999998,145.37952656000004,143.23902560000016,139.05025600000005,115.61600000000004,124.44033439999993,109.97915391999993,130.07425759999998,135.15134048000056,125.22141440000004,158.76807679999996
Trondheim/video/10,166.09477488000002,109.07303583999996,128.5656768000001,109.07146223999999,166.09619112,233.75129599999985,183.0633040000002,168.42718736000012,163.4293552000002,160.85825600000004,144.6679639200001,109.07319319999996,128.49856319999998,148.79696575999984,166.1072063199998,148.99999680000002,167.69607679999996
