,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Trondheim/audio,177.46405687999993,177.46037735999997,,58.673811200000074,47.50761280000009,177.4692589599999,,47.50266448000005,,47.50393328000004,177.46405687999993,177.4705277599999,47.50012688000007
Trondheim/audio/01,224.97079656000003,164.0256560000001,,220.40171360000005,164.0256560000001,228.05013640000018,,224.98315799999997,,224.97364920000004,175.02327536000016,188.0142428800001,164.02959536000017
Trondheim/audio/02,180.20365608000014,180.19950560000012,,189.74571360000004,224.98002040000006,237.1817556800002,,315.8987632000004,,180.20365608000014,224.96672135999995,203.22224288000012,224.97701488
Trondheim/audio/03,193.84365608000013,193.8395056000001,,,224.98002040000006,237.1817556800002,,300.6347632000004,,193.84365608000013,224.96672135999995,215.70224288000014,224.97701488
Trondheim/audio/04,228.72336343999987,228.71921295999985,,,415.34814192000147,205.07929144000056,,203.57716440000027,,203.58031304000033,239.4261203199998,228.2213442399982,203.5773075200003
Trondheim/audio/05,232.64657584000008,232.64242536000006,,254.71018240000012,212.29395200000005,244.84831112000023,,324.07476320000046,,212.2971006400001,230.96672135999995,222.44624288000017,212.29409512000007
Trondheim/audio/06,235.69312624000014,235.68897576000012,,268.8240988800001,221.52740159999996,233.73228552000018,,221.26301120000005,,226.06368632000024,234.02342216000005,233.55024288000016,221.52754471999998
Trondheim/audio/07,236.982638,234.6715056000001,,279.9680988800001,235.0392944799998,248.57552928000024,,236.982638,,236.61568632000026,234.7446384000002,244.51024288000013,234.9138824800001
Trondheim/audio/08,,253.44165600000005,,,,,,253.44165600000005,,,239.96815575999997,,
Trondheim/audio/09,,243.88484215999995,,,262.9555352000001,,,,,,,,263.79567832000015
Trondheim/video,171.3988349600001,171.3963773600001,27.515974400000005,27.503686399999992,171.4001866400001,171.3977290400001,27.50122879999998,27.503686399999992,171.42341096000013,171.4000637600001,171.3988349600001,27.51720320000001,27.500122879999964
Trondheim/video/01,61.03172944000005,61.03052544000002,,,,61.688932319999935,198.90025992000005,198.90025992000005,,,61.03413744000005,,198.90025992000005
Trondheim/video/02,73.89160991999998,73.888,198.90272584000004,,73.89285471999997,74.1108151999999,,73.89160991999998,198.92637704000006,73.89160991999998,198.89899144000006,198.91143944000007,198.89650184000007
Trondheim/video/03,,331.03987712,,,,,,365.80884120000053,,,201.65664335999986,,201.65664335999986
Trondheim/video/04,340.3576900800002,340.3926644800001,201.9104760800002,,340.3568243200002,201.90936296000018,340.3555875200002,375.1616285600006,201.91171287999998,340.3811892800005,204.67185599999982,201.90144744000008,204.67185599999982
Trondheim/video/05,204.90853160000006,352.32787712000015,204.9176918400001,352.4161982400004,352.32787712000015,352.3992449600004,352.4007488800004,239.6866559200006,204.90730112000006,204.90470344000005,353.8188286399999,204.90607064000005,353.8188286399999
Trondheim/video/06,365.5963051200001,365.59187712000005,207.90240424000012,365.59778112000015,365.5949767200001,207.89989504000005,207.90004264000004,242.66696544000035,365.59350072000007,207.90151864000006,365.5985191200001,207.89989504000005,365.5985191200001
Trondheim/video/07,121.252408,121.24985599999997,210.9201301600002,121.25266319999997,121.25406679999998,121.25125959999997,210.9037973600001,121.25406679999998,210.9037973600001,210.90622176000016,210.91362256000014,129.07222719999993,210.90264896000008
Trondheim/video/08,,130.44185599999997,,,213.9067321600001,,130.44555640000004,213.9067321600001,,,130.45295720000001,140.08277279999993,213.90264896000008
Trondheim/video/09,216.90631336000007,140.70585599999998,216.91389736000002,179.30284703999996,140.70585599999998,172.5915598400003,,140.71344,216.89920552000007,219.9836797600002,216.91389736000002,219.3295364000001,140.74756799999994
Trondheim/video/10,151.25316143999999,151.25231360000004,163.18853440000007,,151.25679504,219.90284952000013,151.5275350400002,219.90527192000013,219.90769432000013,,151.25316143999999,163.67499359999994,219.97267031999996
