,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Trondheim/audio,68.12809607999996,47.50369344000008,68.10262408,47.50012736000005,83.7998464,66.12514240000004,57.27417919999999,67.25509759999989,67.8951838399999,68.09612871999998,75.36681759999996,74.20657599999993,48.518542399999916,53.065548800000045,63.386015999999984,53.82070191999986,51.578506159999904,46.122916000000004
Trondheim/audio/01,51.858501919999966,115.6097288799999,50.032019999999804,115.64255351999996,29.19567360000002,115.59980800000001,50.03214247999979,50.032019999999804,50.032019999999804,115.60005295999999,31.314407999999986,31.635479520000047,115.60115527999999,50.03691919999987,28.61372160000002,40.079187600000154,30.995099200000027,33.54307488000006
Trondheim/audio/02,75.25251271999998,115.60549352,115.64295271999988,115.63374399999994,75.22457439999995,115.61189279999998,77.60129951999987,75.22301359999996,119.2639982399999,115.59768952000003,46.602408,45.26747952000005,121.15987575999996,75.30901367999998,46.09258399999996,77.84801376000011,75.22301359999996,75.2526688
Trondheim/audio/04,118.63491000000013,232.67357935999942,232.6749305599994,232.61520751999964,118.64166600000007,118.69436280000005,118.64301720000006,118.60396752000005,232.66952575999946,232.66141855999953,118.64301720000006,232.65871615999944,118.64571960000004,232.65466255999948,118.63761240000011,232.60818127999974,118.60275144000005,232.60831639999972
Trondheim/audio/05,247.4685417599999,,247.43740223999973,121.60415976000004,121.61198375999996,121.63545575999987,,247.43740223999973,247.47167135999987,121.60415976000004,121.62137255999986,247.45132895999976,121.60728936000001,,,247.4323948799998,121.60275144000005,247.43270783999978
Trondheim/audio/06,257.2748321599998,254.4077956799999,257.23899823999966,124.6105637600001,,,254.40267247999984,257.23899823999966,,124.6105637600001,,,124.61369336000007,124.60915544000014,124.60403224000007,257.23399087999974,124.60915544000011,257.2343038399997
Trondheim/audio/07,,127.61485696000004,122.40710055999985,,105.46952960000013,192.84281032000004,122.40697679999984,127.60631752000008,117.41431039999992,122.40573919999984,223.23231679999984,95.61600000000004,122.40957575999984,127.60631752000008,98.56769919999994,96.77875520000006,97.56546672000002,106.53123975999998
Trondheim/audio/08,141.6726847999999,141.66671999999977,130.61094024,130.60944904000002,131.00869120000027,,141.66373759999982,130.60631752000006,,141.66224639999984,,106.63200000000006,141.66955327999972,130.60929992,113.24915359999989,141.66075519999987,130.60631752000006,119.74913519999987
Trondheim/audio/09,153.5526847999999,153.54671999999977,133.61094024,133.60944904000002,134.00869120000027,172.64126704000012,153.54373759999982,133.60631752000006,229.59386007999979,153.54224639999984,143.60631679999992,118.44800000000009,153.5495532799997,133.60929992,124.50515359999986,153.54075519999986,133.60631752000006,131.29313519999985
Trondheim/audio/10,,136.61228231999996,,,,,162.83173759999983,136.60631752000006,,162.83024639999985,,,,176.0398727199999,,162.82875519999988,136.60631752000006,
Trondheim/video,414.83012264,24.5081278400001,24.501377600000012,414.8230968800001,414.82722968000013,24.527414240000155,414.8244744800001,24.501377600000012,414.83563304000006,414.8229591200001,24.51501584000016,24.504132800000036,24.502755200000024,414.8230968800001,24.503995040000063,414.8229591200001,414.83287784000004,
Trondheim/video/01,448.4561927199994,,180.51204880000114,180.18933280000078,,,439.32557272000014,439.3359551200001,,50.04771680000022,,,453.34571191999885,50.050930400000254,50.04895280000022,,,
Trondheim/video/02,439.3307000800002,439.3298326400002,445.21527992000017,439.3298326400002,179.47030448000078,439.3331784800002,62.477875760000074,439.32970872000016,62.53116135999994,62.46635120000013,62.84311840000015,452.4333115999991,62.46920136000017,62.46920136000017,439.3298326400002,,62.46635120000013,
Trondheim/video/03,439.3418215200002,,,79.29991592000027,,,439.3296712000002,439.32846952000017,,79.2997824000002,,,,79.30645840000028,79.30125112000025,,,
Trondheim/video/04,442.34689704000016,452.90247719999945,442.3270928800001,88.70284040000035,,,442.3347467200001,442.3335450400001,163.3647479999998,88.70270688000028,448.5510080800004,162.3085687999997,87.76621104000026,88.70938288000036,88.70417560000033,87.76497024000025,442.3335450400001,
Trondheim/video/05,445.33488896000006,455.0471341599998,98.86076632000038,98.88240392000068,98.88749512000084,98.88494952000076,98.88367672000072,445.32712488000016,99.78287472,445.33985287999985,99.29272591999995,445.36912728000004,445.3411256799999,98.85427504000018,445.3283976800002,445.37294568000016,98.85300224000014,
Trondheim/video/06,116.84256583999996,,,448.3286160000002,,,116.80535992000006,116.81912904000006,,116.80404160000006,,,,448.3286160000002,448.33095968000015,448.32846952000017,116.80257680000005,
Trondheim/video/07,451.36951680000004,,451.32718408000017,127.12400872000012,,,451.32996720000017,,,451.3286488800002,,,125.80105744000036,127.12400872000012,,127.12386224000011,,
Trondheim/video/08,454.3763596800003,134.82606544000032,454.3340269600004,136.7891658399999,454.33269496000037,454.32762616000025,454.3368100800004,454.32711928000015,460.35802704000025,454.3354917600004,142.95443839999996,134.83975120000025,135.46621456000014,136.7891658399999,137.99772903999997,136.78901935999988,134.8209966400002,
Trondheim/video/09,145.2381466400002,152.55543344000012,464.2048080800005,145.19859704000032,145.1969857600003,,457.3273072800001,457.4099260000006,,152.53797104,,,157.44495263999954,458.95937888000003,,458.95806056000004,145.1909910400002,
Trondheim/video/10,460.4259186400004,460.33192248000034,,205.88290480000052,,,460.3334400800004,460.38636904000055,467.67005864000066,177.5974830400005,168.56302719999974,156.4856974399995,188.70032063999963,156.01160687999982,177.5853422400006,,154.45454800000027,
