,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Trondheim/audio,99.05976088000003,77.45963951999998,,,,47.51471568000005,44.502435200000036,,,,,,,,98.3354815999999,58.50799999999998,46.555999999999926,61.459999999999866,55.22157600000003
Trondheim/audio/01,124.97376000000001,50.85776511999994,,,,50.831773439999935,50.83527231999993,,,,,,,,124.97101088000004,50.83527231999993,124.96226368000002,29.859788800000047,27.98757760000001
Trondheim/audio/02,92.83982719999993,126.1502368,,,,85.84836272000008,124.98525168000002,,,,,,,,85.80414512000009,124.98209328,95.84534672,129.6754260799999,85.80414512000009
Trondheim/audio/03,111.99722879999999,112.01920079999994,,,,,149.33753200000004,,,,,,,,106.34166672000006,144.25257168000005,106.34166672000006,,149.33313760000001
Trondheim/audio/04,107.29072687999995,107.3126988799999,,,,96.58725920000008,127.96403392000006,,,,,,,,127.97435520000003,96.53988320000006,129.33088464000008,69.49978880000006,71.93722832
Trondheim/audio/05,141.64839151999993,141.67036351999988,,,,107.14597488000007,107.15036928000009,,,,,,,,130.95963952000005,107.09859888000005,116.49158352,79.97978880000005,83.41722831999999
Trondheim/audio/06,132.20764784000005,142.8930849599999,,,,128.29707024000004,172.22465040000006,,,,,,,,136.27600160000017,151.83548159999995,129.23558352000003,142.86671855999998,
Trondheim/audio/07,151.01322576000013,137.5835070399998,,,,137.21412511999984,138.55330032000023,,,,,,,,136.98218287999987,138.55330032000023,142.14758352,147.44566368000017,137.5571406399999
Trondheim/audio/09,201.9925172799999,142.98926032000003,,,,202.29469176000043,173.59532415999982,,,,,,,,176.96838400000016,168.52709919999998,202.35832319999997,142.99316160000006,164.37124304000017
Trondheim/audio/10,146.26898544,162.30138096000007,,,,180.2410702400001,145.96215632000002,,,,,,,,162.26841087999998,169.37049776000015,159.30758352000004,139.42399999999998,166.05558384
Trondheim/video,24.5047376,28.240809599999977,24.514054880000145,173.36492112000005,173.36334192000004,24.550534400000004,173.36334192000004,173.3710800000001,24.517371200000156,24.51405488000006,24.514054880000145,173.36160480000012,173.36950080000008,24.52684640000004,173.36176272000012,24.512475679999966,181.06677392000003,178.06125439999997,173.36176272000012
Trondheim/video/01,302.53213744000016,197.90701520000005,197.8954824000001,302.53213744000016,,302.5308400000001,197.86304640000014,197.8920225600001,302.5350206400002,302.5364622400002,197.90269039999998,302.5034496000002,302.53934544000026,197.91566479999994,302.5135408000001,303.1643352000001,197.89692400000013,197.88899520000007,
Trondheim/video/02,,,197.87846192000023,197.89231311999987,410.95954240000066,410.9155963199998,,197.89357231999992,410.9167295999999,410.92176640000054,197.89105391999982,,410.9205072000005,410.9343584000006,,,,197.88979472000022,
Trondheim/video/03,197.88171440000002,197.916674,426.40361079999974,,,426.40361079999974,197.88185479999999,197.8787660000001,426.40487439999976,197.88325879999996,426.41329839999986,,197.88718999999998,426.42481119999985,197.88283760000007,426.41329839999986,426.4161063999998,197.885786,426.41638719999975
Trondheim/video/04,200.90394319999973,328.93431280000004,,202.97784720000016,,,200.89133600000014,,,,,328.91725599999995,,,200.88886400000024,328.91725599999995,200.90258360000018,328.9257844,328.9234359999997
Trondheim/video/05,270.36472304000006,270.37012927999956,203.87894144000023,270.36330712000006,203.87894144000023,270.3620199200001,,270.36317840000004,203.88267432000015,203.89142728000064,203.8914272800004,,270.3649804799999,270.3662676799996,,,203.9300432800007,203.8901400800002,
Trondheim/video/06,,,,245.15744720000015,206.93619088000017,,177.69616799999972,,,245.16958320000015,245.16472880000003,146.42771536000006,206.8996072000004,,212.79800960000028,225.9817615999999,,187.9763407999998,206.88504400000033
Trondheim/video/07,333.1734352000002,209.90318312000034,209.88281840000025,211.53891192000037,333.1812480799998,209.88781352000035,209.88781352000035,333.17868648,209.8866608000003,333.17868648,333.17740568,333.1734352000002,333.17868648,209.90190232000032,333.1759968,209.8866608000003,,209.9057447200006,333.1761248800002
Trondheim/video/08,343.35834336000016,212.89794431999974,,344.8142156800004,,343.34924895999995,343.34807967999996,212.89508607999994,,,212.88339327999984,343.34574111999996,343.35834336000016,212.89378688,343.35548512000037,212.88339327999984,212.8804051200001,343.3671779200005,212.88066496
Trondheim/video/09,,,,355.17030392000004,215.88378848000002,354.0884456800002,,354.09753592000027,354.0891140800003,354.0904508800003,215.89327976000004,215.90223632000004,215.90223632000004,354.0961991200003,215.88485792000006,354.0891140800003,,215.90985608000017,
Trondheim/video/10,,,,,,,,,,,,,,,242.17209280000014,267.78976159999996,,218.89680320000014,
