,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
Trondheim/audio,44.55445520000009,90.30551608000007,44.51646320000009,90.30273000000005,,44.50253280000007,96.77999999999997,,90.3105816800001,
Trondheim/audio/01,317.99368423999965,317.9652751999999,317.98022023999965,135.70145480000008,,135.7135724000001,135.72151616000025,,317.9733535999998,
Trondheim/audio/02,134.8149340000001,134.80544200000008,,332.51999999999987,,332.52420359999985,,,,
Trondheim/audio/03,134.84305560000018,134.83356360000016,,346.0118783999998,,346.01608199999976,134.8308516000002,,346.0083823999998,
Trondheim/audio/04,137.87506504000015,358.4898300799998,137.83157704000013,358.4719999999998,,137.8056292000001,369.7081689599998,,358.4985276799998,
Trondheim/audio/05,367.7912659199999,,367.74777791999986,367.70399999999984,,140.8056292000001,152.02396808000003,,140.81432680000012,
Trondheim/audio/06,381.51307583999994,143.80961512,,381.5039999999999,,143.81712615999993,391.64610784,,,
Trondheim/audio/07,392.2074830399996,146.81920792000028,390.26948159999995,392.19840719999956,,146.82671896000022,402.3405150399997,,146.8123228000004,
Trondheim/audio/08,401.26348303999964,149.81920792000028,399.3254816,401.2544071999996,,149.82671896000022,411.3965150399997,,149.8123228000004,
Trondheim/audio/09,411.8234830399996,152.81920792000028,409.88548159999993,411.81440719999955,,152.82671896000022,421.95651503999966,,152.8123228000004,
Trondheim/audio/10,422.9826700000001,155.8120209599998,421.48325496000007,422.97359416000006,,155.81953199999975,433.11570200000017,,155.80513583999993,
Trondheim/video,75.29933416000013,24.503077759999996,75.35156736000002,75.2867300000001,73.1034432,24.536432639999973,24.52843263999999,75.28702312000011,24.508500479999995,75.60007296000006
Trondheim/video/01,99.81904359999982,,99.80557959999982,341.3199999999999,99.79871295999999,341.3282130399999,341.3361568000001,341.3201346399999,99.79480840000002,
Trondheim/video/02,99.66976223999991,99.79243496000011,,99.63692223999992,,99.80163016000013,,,99.63954943999993,
Trondheim/video/03,99.82237080000009,,,86.40462911999994,,86.42032799999991,86.43777119999989,99.79620600000008,99.79620600000008,
Trondheim/video/04,102.82814776000005,102.7926477600001,,125.0689222399999,,102.81252776000007,125.0817022399999,,125.07460223999989,127.76924104000004
Trondheim/video/05,,105.79800168000018,106.83689247999995,106.83662911999993,,106.89061791999997,105.84277288000025,105.81380328000022,,110.26088320000007
Trondheim/video/06,,108.89056319999997,153.37944487999994,153.37072999999998,,110.29168511999995,,108.89081951999998,,153.37329319999998
Trondheim/video/07,163.7976164000001,111.89219839999993,163.7987971999999,163.79472999999996,111.90663039999976,164.84894439999988,121.86143880000003,163.79486119999996,111.94218560000002,111.90400639999979
Trondheim/video/08,,190.71235351999997,119.78182463999957,115.96551976,190.69118704,190.70921024,197.37534552000017,115.97450055999991,,114.88938639999998
Trondheim/video/09,207.96830400000016,206.59309479999996,,206.58672999999993,,117.89118239999999,,,126.41188799999998,
Trondheim/video/10,120.83216096000018,120.79324416000009,,172.0206291199999,,,178.65807927999998,172.0296099199998,181.94082183999978,
