,C0,C1,C2,C3,C4,C5,C6,C9,C10,C11,C12,C14,C15,C16,C17
Trondheim/audio,44.50317920000006,,,82.60554975999995,74.04133263999984,,44.79003560000007,82.61015959999996,59.23001919999993,,48.64399999999995,93.03661919999996,,220.36344720000005,
Trondheim/audio/01,388.2875499200003,,,127.24493711999992,386.2670700800004,,127.11422168000001,386.25563320000026,388.2846011200003,,127.10680656000011,127.24641151999992,,388.3124672800003,
Trondheim/audio/02,127.10869696000009,,,405.15199840000014,127.11341776000017,,405.15341464000016,405.1567192000002,405.15341464000016,,127.11027056000012,127.10885432000009,,405.1754450399999,
Trondheim/audio/03,127.10869696000009,,,418.5919984000002,418.5981354400003,,,127.11200152000015,127.10869696000009,,418.59498824000025,418.5935720000002,,127.13072735999981,
Trondheim/audio/05,424.34197703999996,,,135.0947183200003,135.10085536000042,,424.3388298399999,424.3452816,424.34197703999996,,135.09770816000037,135.09629192000034,,424.3640074399997,
Trondheim/audio/06,435.0459770399999,,,138.0947183200003,138.10085536000042,,435.04282983999985,435.0492816,435.0459770399999,,138.09770816000037,138.09629192000034,,435.06800743999963,
Trondheim/audio/07,444.3739770399999,,,141.0947183200003,141.10085536000042,,444.37082983999983,444.37728159999995,444.3739770399999,,141.09770816000037,141.09629192000034,,444.3960074399996,
Trondheim/audio/08,454.14997703999984,,,144.0947183200003,144.10085536000042,,454.1468298399998,454.1532815999999,454.14997703999984,,144.09770816000037,144.09629192000034,,454.17200743999956,
Trondheim/audio/09,463.6939770399998,,,147.0947183200003,,,463.69082983999976,147.0995964800004,,,463.69539327999985,147.09629192000034,,463.71726631999957,
Trondheim/audio/10,148.11007696000013,,,476.47861839999996,,,148.10692976000007,476.48349656000005,474.55087904000015,,148.11149320000015,476.480192,,148.13336623999987,
Trondheim/video,24.502969599999986,69.04084168,24.56102527999998,69.02153928,69.02450888,118.31564800000015,53.193932799999914,24.504305919999993,52.621726559999985,42.494803200000035,39.683999999999926,50.147170399999936,52.852043999999964,40.766879999999986,41.87730079999996
Trondheim/video/01,,,,337.1119784800003,,,,,,,,337.1373704800003,,93.54680431999998,
Trondheim/video/02,98.04240032000001,93.53443247999991,98.05948031999986,98.04203432,98.04593831999998,67.16736959999983,98.04227832000001,93.53321247999992,98.04471831999999,98.04362032,93.53223647999994,93.55871048000014,93.53699447999989,93.54785248000002,93.54211847999997
Trondheim/video/03,176.1283676,176.13222399999995,93.55149199999994,176.1283676,96.72595967999996,176.13831959999987,93.55621920000004,93.55012359999995,93.54887959999996,176.13334359999993,93.54999919999995,176.1283676,93.54763559999998,176.1420516,
Trondheim/video/04,185.31236760000002,185.31622399999998,96.55149199999994,185.31236760000002,99.72595967999996,185.3223195999999,96.55621920000004,96.55012359999995,96.54887959999996,185.31734359999996,96.54999919999995,185.31236760000002,96.54763559999998,185.32605160000003,
Trondheim/video/05,99.54658360000002,198.60100280000012,99.5566356000001,198.59238680000004,100.64119648000019,,198.5995668000001,,,99.55376360000008,99.54931200000004,198.7708147999998,198.59382280000005,198.60947519999996,99.56525160000018
Trondheim/video/06,102.52999255999987,102.52282008000003,341.09537920000054,341.0319796000002,341.03620624000035,102.52615015999999,341.0335165600003,102.52486935999997,341.0336446400003,341.03326040000024,102.52371663999998,341.0759110400004,102.52282008000003,102.52871175999985,341.0502950400004
Trondheim/video/07,105.52448647999995,105.5346543199999,105.52875991999991,354.6959988800003,354.69894608000027,105.54202231999994,354.7092612800003,354.69894608000027,354.71368208000024,354.7107348800003,105.52581271999992,354.6974724800003,105.5331807199999,105.53612791999996,368.2664228800004
Trondheim/video/08,108.52448648000001,365.10420848000024,365.0924196800002,365.0879988800002,,365.1115764800003,,108.52728631999997,108.5361279199999,108.53318071999996,,365.0894724800002,108.53170711999996,365.1056820800003,
Trondheim/video/09,111.52448807999997,111.53696783999999,,376.83999896000023,376.84294776000024,,376.8494877600002,,,,111.52581504,376.84147336000024,,111.54139104000001,377.0110541600003
Trondheim/video/10,114.53310207999999,114.54705624000002,114.53015327999998,388.43138496000023,,,,,114.52752528000002,388.3032975200002,,388.43285936000024,388.30475752000024,388.4438225600002,
