,N01,N02,N03,N04,N05
0.5,0,0,0,0,0
1.0,0,0,0,0,0
1.5,0,0,0,0,0
2.0,2,2,2,2,2
2.5,4,4,4,4,4
3.0,6,6,6,6,6
3.5,8,8,8,8,8
4.0,10,10,10,10,8
4.5,11,12,12,12,9
5.0,13,13,13,13,10
5.5,13,14,14,13,10
6.0,13,15,14,13,10
6.5,13,15,14,13,10
7.0,13,17,15,15,11
7.5,13,19,18,17,11
8.0,13,19,20,18,11
8.5,13,20,20,19,11
9.0,13,21,20,20,11
9.5,13,23,21,22,11
10.0,13,25,21,22,11
10.5,13,25,23,22,11
11.0,13,25,23,22,11
11.5,13,25,23,22,11
12.0,13,25,23,22,11
12.5,13,25,23,22,11
13.0,13,25,23,22,11
13.5,14,26,25,23,12
14.0,15,27,27,24,13
14.5,15,28,28,25,13
15.0,15,29,29,26,13
15.5,15,30,30,26,13
16.0,15,31,31,27,13
16.5,15,31,31,28,13
17.0,15,32,31,28,13
17.5,15,32,33,28,13
18.0,15,32,33,29,13
18.5,15,32,33,28,13
19.0,15,32,34,28,13
19.5,15,33,35,29,13
20.0,15,33,36,30,13
20.5,15,33,36,31,13
21.0,14,33,37,32,13
21.5,14,31,37,31,13
22.0,14,31,38,31,13
22.5,14,31,38,31,13
23.0,14,30,38,32,13
23.5,14,30,39,31,13
24.0,14,30,38,32,13
24.5,14,29,38,32,13
25.0,14,30,38,32,13
25.5,14,32,39,35,14
26.0,14,32,39,36,13
26.5,14,32,41,36,13
27.0,14,32,42,36,13
27.5,14,34,42,36,13
28.0,14,34,42,36,13
28.5,14,31,40,36,11
29.0,14,30,40,37,11
29.5,14,30,40,37,11
30.0,14,31,40,37,11
30.5,14,31,40,37,10
31.0,14,32,40,37,10
31.5,14,32,40,37,10
32.0,14,32,40,33,10
32.5,14,32,40,33,10
33.0,14,32,40,33,10
33.5,14,32,40,33,10
34.0,14,31,40,34,10
34.5,15,30,44,34,10
35.0,15,30,45,35,8
35.5,15,31,40,34,8
36.0,15,32,37,34,8
36.5,15,32,38,34,8
37.0,15,32,34,35,8
37.5,15,32,34,35,7
38.0,15,31,34,36,7
38.5,8,31,34,30,7
39.0,8,31,34,29,7
39.5,8,31,34,29,7
40.0,7,31,34,29,7
40.5,7,29,34,29,7
41.0,7,29,34,25,7
41.5,7,28,34,25,7
42.0,7,28,34,25,7
42.5,7,28,34,23,7
43.0,7,28,35,24,7
43.5,8,28,36,24,8
44.0,8,29,34,25,8
44.5,8,29,34,26,8
45.0,8,30,34,26,8
45.5,8,30,34,26,8
46.0,8,30,35,25,8
46.5,8,30,33,24,7
47.0,8,30,33,23,7
47.5,8,30,34,24,7
48.0,8,30,34,24,7
48.5,8,29,34,24,7
49.0,8,29,34,24,7
49.5,8,29,34,22,7
50.0,8,29,34,22,7
50.5,8,29,34,22,6
51.0,8,29,34,22,6
51.5,8,29,34,20,6
52.0,7,30,34,21,6
52.5,7,31,35,23,6
53.0,8,29,35,24,7
53.5,8,31,34,24,7
54.0,8,31,34,24,7
54.5,8,32,31,25,7
55.0,8,30,31,27,7
55.5,8,22,31,21,7
56.0,8,22,32,22,7
56.5,8,22,32,22,7
57.0,8,22,30,22,7
57.5,6,22,31,22,7
58.0,6,22,30,22,7
58.5,6,22,30,22,6
59.0,5,22,26,22,6
59.5,5,22,26,22,6
60.0,5,22,26,22,5
60.5,5,22,26,22,5
61.0,5,22,24,23,5
61.5,6,23,25,24,7
62.0,7,24,26,25,8
62.5,7,24,27,26,8
63.0,7,23,27,26,7
63.5,7,23,27,28,7
64.0,7,23,27,29,7
64.5,7,23,27,25,7
65.0,7,23,27,25,7
65.5,7,24,29,25,7
66.0,7,24,26,24,7
66.5,7,24,26,24,7
67.0,7,24,26,24,7
67.5,7,24,26,24,7
68.0,7,24,26,24,7
68.5,7,24,26,23,7
69.0,7,24,23,23,7
69.5,7,24,23,23,7
70.0,7,24,23,24,6
70.5,9,24,26,26,7
71.0,8,24,26,27,7
71.5,7,25,26,27,7
72.0,8,25,26,25,7
72.5,7,26,27,25,7
73.0,8,26,27,25,7
